Training log:
epoch	loss	v_loss	|	tr_auc	tr_f1	tr_pre	tr_rec	|	v_auc	v_f1	v_pre	v_rec	|	t_auc	t_f1	t_pre	t_rec
34	0.6892	0.6867	|	0.6712	0.0346	0.7674	0.0177	|	0.5827	0.0244	0.6000	0.0124	|	0.5115	0.0250	0.6842	0.0127	|  Best result at epoch 31
35	0.6844	0.6870	|	0.6855	0.6062	0.5925	0.6205	|	0.5831	0.5409	0.5092	0.5768	|	0.5101	0.4894	0.4833	0.4956	|  Best result at epoch 31
36	0.6654	2.0783	|	0.7156	0.6644	0.5170	0.9291	|	0.5820	0.6229	0.4749	0.9046	|	0.5166	0.6268	0.4872	0.8786	|  Best result at epoch 31
37	1.6047	0.6925	|	0.6929	0.2614	0.7731	0.1573	|	0.5476	0.1781	0.5098	0.1079	|	0.5099	0.1710	0.5598	0.1009	|  Best result at epoch 31
38	0.6757	0.6932	|	0.7125	0.3263	0.7674	0.2072	|	0.5684	0.2334	0.4868	0.1535	|	0.5187	0.2156	0.5480	0.1342	|  Best result at epoch 31
39	0.6686	0.6944	|	0.7153	0.3711	0.7617	0.2453	|	0.5713	0.2492	0.4659	0.1701	|	0.5190	0.2445	0.5329	0.1587	|  Best result at epoch 31
40	0.6629	0.6969	|	0.7185	0.4099	0.7550	0.2813	|	0.5730	0.2957	0.4904	0.2116	|	0.5196	0.2820	0.5387	0.1910	|  Best result at epoch 31
41	0.6566	0.6994	|	0.7214	0.4697	0.7232	0.3478	|	0.5739	0.3368	0.4604	0.2656	|	0.5203	0.3313	0.5166	0.2439	|  Best result at epoch 31
42	0.6501	0.7029	|	0.7243	0.5037	0.7173	0.3881	|	0.5748	0.3641	0.4765	0.2946	|	0.5202	0.3591	0.5165	0.2752	|  Best result at epoch 31
43	0.6429	0.7071	|	0.7274	0.5412	0.7195	0.4337	|	0.5763	0.4126	0.4971	0.3527	|	0.5204	0.3811	0.5116	0.3036	|  Best result at epoch 31
44	0.6350	0.7129	|	0.7323	0.5630	0.7215	0.4616	|	0.5760	0.4346	0.4973	0.3859	|	0.5208	0.3940	0.5046	0.3232	|  Best result at epoch 31
45	0.6261	0.7189	|	0.7380	0.5903	0.7302	0.4954	|	0.5758	0.4368	0.4897	0.3942	|	0.5212	0.4096	0.5065	0.3438	|  Best result at epoch 31
46	0.6156	0.7270	|	0.7442	0.6182	0.7329	0.5346	|	0.5765	0.4550	0.4975	0.4191	|	0.5210	0.4196	0.5000	0.3614	|  Best result at epoch 31
47	0.6037	0.7327	|	0.7487	0.6261	0.7369	0.5443	|	0.5761	0.4480	0.4925	0.4108	|	0.5206	0.4177	0.4966	0.3604	|  Best result at epoch 31
48	0.5970	0.7370	|	0.7533	0.6406	0.7372	0.5663	|	0.5769	0.4612	0.4952	0.4315	|	0.5202	0.4287	0.4968	0.3771	|  Best result at epoch 31
49	0.5907	0.7429	|	0.7585	0.6522	0.7420	0.5819	|	0.5762	0.4670	0.4977	0.4398	|	0.5199	0.4304	0.4962	0.3800	|  Best result at epoch 31
50	0.5844	0.7452	|	0.7642	0.6641	0.7500	0.5958	|	0.5754	0.4626	0.4930	0.4357	|	0.5193	0.4338	0.4968	0.3849	|  Best result at epoch 31
51	0.5778	0.7580	|	0.7702	0.6750	0.7609	0.6065	|	0.5747	0.4568	0.4905	0.4274	|	0.5188	0.4316	0.4943	0.3830	|  Best result at epoch 31
52	0.5711	0.7487	|	0.7768	0.6841	0.7482	0.6302	|	0.5737	0.4744	0.4890	0.4606	|	0.5182	0.4512	0.4925	0.4163	|  Best result at epoch 31
53	0.5670	0.7998	|	0.7835	0.6623	0.7792	0.5760	|	0.5705	0.4342	0.4896	0.3900	|	0.5186	0.4133	0.4993	0.3526	|  Best result at epoch 31
54	0.5712	0.7696	|	0.7842	0.6914	0.6699	0.7144	|	0.5735	0.5380	0.5074	0.5726	|	0.5165	0.4979	0.4800	0.5171	|  Best result at epoch 31
55	0.5781	0.7571	|	0.7977	0.6976	0.7811	0.6302	|	0.5689	0.4659	0.4953	0.4398	|	0.5175	0.4372	0.4944	0.3918	|  Best result at epoch 31
56	0.5479	0.7778	|	0.8026	0.7142	0.7792	0.6592	|	0.5677	0.4873	0.4978	0.4772	|	0.5175	0.4526	0.4931	0.4182	|  Best result at epoch 31
57	0.5375	0.7885	|	0.8115	0.7143	0.7975	0.6468	|	0.5668	0.4680	0.5000	0.4398	|	0.5166	0.4326	0.4937	0.3849	|  Best result at epoch 31
58	0.5297	0.8008	|	0.8138	0.7295	0.7216	0.7375	|	0.5669	0.5198	0.4981	0.5436	|	0.5154	0.4908	0.4852	0.4966	|  Best result at epoch 31
