Training log:
epoch	loss	v_loss	|	tr_maf1	tr_f1	tr_pre	tr_rec	|	v_auc	v_f1	v_pre	v_rec	|	t_maf1	t_f1	t_pre	t_rec
0	1.0962	2.7635	|	0.2696	0.6791	0.6791	0.6791	|	0.2917	0.7778	0.7778	0.7778	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
1	2.7558	1.0637	|	0.2696	0.6791	0.6791	0.6791	|	0.2917	0.7778	0.7778	0.7778	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
2	1.0634	0.9664	|	0.2696	0.6791	0.6791	0.6791	|	0.2917	0.7778	0.7778	0.7778	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
3	0.9660	0.8232	|	0.2696	0.6791	0.6791	0.6791	|	0.2917	0.7778	0.7778	0.7778	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
4	0.8221	0.9337	|	0.2696	0.6791	0.6791	0.6791	|	0.2917	0.7778	0.7778	0.7778	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
5	0.9280	0.9304	|	0.2696	0.6791	0.6791	0.6791	|	0.2917	0.7778	0.7778	0.7778	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
6	0.9284	0.8539	|	0.2696	0.6791	0.6791	0.6791	|	0.2917	0.7778	0.7778	0.7778	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
7	0.8519	0.8065	|	0.2696	0.6791	0.6791	0.6791	|	0.2917	0.7778	0.7778	0.7778	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
8	0.8038	0.7852	|	0.2696	0.6791	0.6791	0.6791	|	0.2917	0.7778	0.7778	0.7778	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
9	0.7820	0.7874	|	0.2696	0.6791	0.6791	0.6791	|	0.2917	0.7778	0.7778	0.7778	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
10	0.7848	0.8791	|	0.2696	0.6791	0.6791	0.6791	|	0.2917	0.7778	0.7778	0.7778	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
11	0.8741	0.8970	|	0.2696	0.6791	0.6791	0.6791	|	0.2917	0.7778	0.7778	0.7778	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
12	0.8951	0.8336	|	0.2696	0.6791	0.6791	0.6791	|	0.2917	0.7778	0.7778	0.7778	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
13	0.8314	0.7727	|	0.2696	0.6791	0.6791	0.6791	|	0.2917	0.7778	0.7778	0.7778	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
14	0.7700	0.6874	|	0.2696	0.6791	0.6791	0.6791	|	0.2917	0.7778	0.7778	0.7778	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
15	0.6842	0.6002	|	0.2696	0.6791	0.6791	0.6791	|	0.2917	0.7778	0.7778	0.7778	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
16	0.5961	0.5381	|	0.2696	0.6791	0.6791	0.6791	|	0.2917	0.7778	0.7778	0.7778	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
17	0.5327	0.5285	|	0.2696	0.6791	0.6791	0.6791	|	0.2917	0.7778	0.7778	0.7778	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
18	0.5229	2.7503	|	0.2696	0.6791	0.6791	0.6791	|	0.2917	0.7778	0.7778	0.7778	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
19	2.7325	1.0487	|	0.1406	0.2674	0.2674	0.2674	|	0.0952	0.1667	0.1667	0.1667	|	0.1306	0.2436	0.2436	0.2436	|  Best result at epoch 0
20	1.0469	0.9837	|	0.1406	0.2674	0.2674	0.2674	|	0.0952	0.1667	0.1667	0.1667	|	0.1306	0.2436	0.2436	0.2436	|  Best result at epoch 0
21	0.9820	0.9252	|	0.2658	0.6631	0.6631	0.6631	|	0.2917	0.7778	0.7778	0.7778	|	0.2674	0.6699	0.6699	0.6699	|  Best result at epoch 0
22	0.9230	0.8519	|	0.2696	0.6791	0.6791	0.6791	|	0.2917	0.7778	0.7778	0.7778	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
23	0.8493	0.8156	|	0.2696	0.6791	0.6791	0.6791	|	0.2917	0.7778	0.7778	0.7778	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
24	0.8121	0.8164	|	0.2696	0.6791	0.6791	0.6791	|	0.2917	0.7778	0.7778	0.7778	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
25	0.8144	0.8320	|	0.2696	0.6791	0.6791	0.6791	|	0.2917	0.7778	0.7778	0.7778	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
26	0.8297	0.8120	|	0.2696	0.6791	0.6791	0.6791	|	0.2917	0.7778	0.7778	0.7778	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
27	0.8097	0.7599	|	0.2696	0.6791	0.6791	0.6791	|	0.2917	0.7778	0.7778	0.7778	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
28	0.7569	0.6906	|	0.2696	0.6791	0.6791	0.6791	|	0.2917	0.7778	0.7778	0.7778	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
29	0.6872	1.3722	|	0.2696	0.6791	0.6791	0.6791	|	0.2917	0.7778	0.7778	0.7778	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
30	1.3706	0.8936	|	0.3485	0.6845	0.6845	0.6845	|	0.4222	0.7778	0.7778	0.7778	|	0.3812	0.6915	0.6915	0.6915	|  Best result at epoch 0
31	0.8908	0.8163	|	0.2696	0.6791	0.6791	0.6791	|	0.2917	0.7778	0.7778	0.7778	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
32	0.8135	0.7390	|	0.2696	0.6791	0.6791	0.6791	|	0.2917	0.7778	0.7778	0.7778	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
33	0.7357	0.6383	|	0.2836	0.6845	0.6845	0.6845	|	0.2917	0.7778	0.7778	0.7778	|	0.2806	0.6899	0.6899	0.6899	|  Best result at epoch 0
34	0.6337	0.5275	|	0.4720	0.7807	0.7807	0.7807	|	0.4444	0.8333	0.8333	0.8333	|	0.4714	0.7700	0.7700	0.7700	|  Best result at epoch 34
35	0.5222	0.4762	|	0.5919	0.8930	0.8930	0.8930	|	0.3810	0.7222	0.7222	0.7222	|	0.5014	0.7869	0.7869	0.7869	|  Best result at epoch 34
36	0.4678	0.4742	|	0.5026	0.8075	0.8075	0.8075	|	0.3011	0.7778	0.7778	0.7778	|	0.4716	0.7716	0.7716	0.7716	|  Best result at epoch 34
37	0.4699	0.8482	|	0.4658	0.6898	0.6898	0.6898	|	0.2857	0.4444	0.4444	0.4444	|	0.4009	0.5889	0.5889	0.5889	|  Best result at epoch 34
38	0.8304	0.7563	|	0.2696	0.6791	0.6791	0.6791	|	0.2917	0.7778	0.7778	0.7778	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 34
