Training log:
epoch	loss	v_loss	|	tr_maf1	tr_f1	tr_pre	tr_rec	|	v_auc	v_f1	v_pre	v_rec	|	t_maf1	t_f1	t_pre	t_rec
34	0.7363	0.7245	|	0.6388	0.6499	0.6499	0.6499	|	0.6899	0.6951	0.6951	0.6951	|	0.6248	0.6402	0.6402	0.6402	|  Best result at epoch 34
35	0.7240	0.7526	|	0.6118	0.6423	0.6423	0.6423	|	0.6062	0.6402	0.6402	0.6402	|	0.5662	0.6159	0.6159	0.6159	|  Best result at epoch 34
36	0.7516	0.8833	|	0.3111	0.4505	0.4505	0.4505	|	0.2926	0.5061	0.5061	0.5061	|	0.3199	0.4817	0.4817	0.4817	|  Best result at epoch 34
37	0.8831	0.7979	|	0.4987	0.5358	0.5358	0.5358	|	0.4369	0.4451	0.4451	0.4451	|	0.4833	0.4939	0.4939	0.4939	|  Best result at epoch 34
38	0.7969	0.7238	|	0.6517	0.6560	0.6560	0.6560	|	0.7051	0.6951	0.6951	0.6951	|	0.6298	0.6402	0.6402	0.6402	|  Best result at epoch 34
39	0.7234	0.6927	|	0.6179	0.6469	0.6469	0.6469	|	0.6338	0.6707	0.6707	0.6707	|	0.6215	0.6463	0.6463	0.6463	|  Best result at epoch 34
40	0.6921	0.6762	|	0.6352	0.6484	0.6484	0.6484	|	0.6753	0.6829	0.6829	0.6829	|	0.6335	0.6524	0.6524	0.6524	|  Best result at epoch 34
41	0.6758	0.7017	|	0.7417	0.7397	0.7397	0.7397	|	0.6854	0.6829	0.6829	0.6829	|	0.6086	0.6098	0.6098	0.6098	|  Best result at epoch 34
42	0.7007	1.1856	|	0.4359	0.4992	0.4992	0.4992	|	0.3684	0.5366	0.5366	0.5366	|	0.4845	0.5488	0.5488	0.5488	|  Best result at epoch 34
43	1.1851	0.9484	|	0.3949	0.4581	0.4581	0.4581	|	0.3599	0.3841	0.3841	0.3841	|	0.3353	0.3841	0.3841	0.3841	|  Best result at epoch 34
44	0.9471	0.8422	|	0.2790	0.4277	0.4277	0.4277	|	0.1968	0.3780	0.3780	0.3780	|	0.3146	0.4329	0.4329	0.4329	|  Best result at epoch 34
45	0.8422	0.7420	|	0.6375	0.6301	0.6301	0.6301	|	0.6263	0.5915	0.5915	0.5915	|	0.6102	0.5915	0.5915	0.5915	|  Best result at epoch 34
46	0.7416	0.7136	|	0.7491	0.7352	0.7352	0.7352	|	0.7339	0.7012	0.7012	0.7012	|	0.6582	0.6402	0.6402	0.6402	|  Best result at epoch 46
47	0.7131	0.6915	|	0.7529	0.7458	0.7458	0.7458	|	0.7420	0.7317	0.7317	0.7317	|	0.6883	0.6829	0.6829	0.6829	|  Best result at epoch 47
48	0.6909	0.6731	|	0.7075	0.7078	0.7078	0.7078	|	0.7067	0.7195	0.7195	0.7195	|	0.6998	0.7012	0.7012	0.7012	|  Best result at epoch 47
49	0.6726	0.6580	|	0.6822	0.6865	0.6865	0.6865	|	0.6881	0.7012	0.7012	0.7012	|	0.6435	0.6585	0.6585	0.6585	|  Best result at epoch 47
50	0.6576	0.6449	|	0.6693	0.6788	0.6788	0.6788	|	0.6996	0.7073	0.7073	0.7073	|	0.6435	0.6585	0.6585	0.6585	|  Best result at epoch 47
51	0.6444	0.6327	|	0.6815	0.6880	0.6880	0.6880	|	0.7013	0.7073	0.7073	0.7073	|	0.6552	0.6707	0.6707	0.6707	|  Best result at epoch 47
52	0.6322	0.6207	|	0.6961	0.7002	0.7002	0.7002	|	0.7024	0.7073	0.7073	0.7073	|	0.6700	0.6829	0.6829	0.6829	|  Best result at epoch 47
53	0.6202	0.6083	|	0.7243	0.7245	0.7245	0.7245	|	0.7157	0.7195	0.7195	0.7195	|	0.6929	0.7012	0.7012	0.7012	|  Best result at epoch 47
54	0.6078	0.5952	|	0.7300	0.7291	0.7291	0.7291	|	0.7509	0.7500	0.7500	0.7500	|	0.7020	0.7073	0.7073	0.7073	|  Best result at epoch 54
55	0.5947	0.5808	|	0.7544	0.7504	0.7504	0.7504	|	0.7630	0.7622	0.7622	0.7622	|	0.7151	0.7195	0.7195	0.7195	|  Best result at epoch 55
56	0.5803	0.5650	|	0.7873	0.7823	0.7823	0.7823	|	0.7762	0.7805	0.7805	0.7805	|	0.7341	0.7378	0.7378	0.7378	|  Best result at epoch 56
57	0.5644	0.5477	|	0.8147	0.8097	0.8097	0.8097	|	0.7688	0.7744	0.7744	0.7744	|	0.7536	0.7561	0.7561	0.7561	|  Best result at epoch 56
58	0.5470	0.5288	|	0.8313	0.8250	0.8250	0.8250	|	0.7904	0.7988	0.7988	0.7988	|	0.7524	0.7561	0.7561	0.7561	|  Best result at epoch 58
59	0.5281	0.5086	|	0.8418	0.8371	0.8371	0.8371	|	0.8199	0.8293	0.8293	0.8293	|	0.7790	0.7805	0.7805	0.7805	|  Best result at epoch 59
60	0.5078	0.4892	|	0.8480	0.8447	0.8447	0.8447	|	0.8174	0.8232	0.8232	0.8232	|	0.7848	0.7866	0.7866	0.7866	|  Best result at epoch 59
61	0.4884	0.5145	|	0.8170	0.8204	0.8204	0.8204	|	0.7698	0.7927	0.7927	0.7927	|	0.7958	0.7927	0.7927	0.7927	|  Best result at epoch 59
62	0.5138	0.8959	|	0.6031	0.6027	0.6027	0.6027	|	0.5696	0.5732	0.5732	0.5732	|	0.5588	0.5671	0.5671	0.5671	|  Best result at epoch 59
63	0.8954	0.7636	|	0.6567	0.6712	0.6712	0.6712	|	0.6323	0.6890	0.6890	0.6890	|	0.7149	0.7256	0.7256	0.7256	|  Best result at epoch 59
64	0.7626	0.5386	|	0.8338	0.8265	0.8265	0.8265	|	0.8117	0.7927	0.7927	0.7927	|	0.7486	0.7378	0.7378	0.7378	|  Best result at epoch 59
65	0.5376	0.4692	|	0.8616	0.8584	0.8584	0.8584	|	0.8271	0.8293	0.8293	0.8293	|	0.8116	0.8110	0.8110	0.8110	|  Best result at epoch 59
