Training log:
epoch	loss	v_loss	|	tr_auc	tr_f1	tr_pre	tr_rec	|	v_auc	v_f1	v_pre	v_rec	|	t_auc	t_f1	t_pre	t_rec
34	0.6906	0.6879	|	0.6451	0.0000	0.0000	0.0000	|	0.5616	0.0000	0.0000	0.0000	|	0.5247	0.0000	0.0000	0.0000	|  Best result at epoch 0
35	0.6884	0.7131	|	0.6404	0.0000	0.0000	0.0000	|	0.5291	0.0000	0.0000	0.0000	|	0.5213	0.0000	0.0000	0.0000	|  Best result at epoch 0
36	0.7204	0.6948	|	0.3491	0.6358	0.4661	1.0000	|	0.4514	0.6227	0.4522	1.0000	|	0.4839	0.6476	0.4789	1.0000	|  Best result at epoch 36
37	0.6946	0.6913	|	0.4495	0.0000	0.0000	0.0000	|	0.5010	0.0000	0.0000	0.0000	|	0.4906	0.0000	0.0000	0.0000	|  Best result at epoch 36
38	0.6919	0.6898	|	0.4989	0.0000	0.0000	0.0000	|	0.5292	0.0000	0.0000	0.0000	|	0.5041	0.0000	0.0000	0.0000	|  Best result at epoch 36
39	0.6911	0.6893	|	0.5413	0.0000	0.0000	0.0000	|	0.5526	0.0000	0.0000	0.0000	|	0.5126	0.0000	0.0000	0.0000	|  Best result at epoch 36
40	0.6909	0.6891	|	0.5928	0.0000	0.0000	0.0000	|	0.5653	0.0000	0.0000	0.0000	|	0.5210	0.0000	0.0000	0.0000	|  Best result at epoch 36
41	0.6908	0.6890	|	0.6206	0.0000	0.0000	0.0000	|	0.5634	0.0000	0.0000	0.0000	|	0.5213	0.0000	0.0000	0.0000	|  Best result at epoch 36
42	0.6908	0.6890	|	0.6254	0.0000	0.0000	0.0000	|	0.5643	0.0000	0.0000	0.0000	|	0.5216	0.0000	0.0000	0.0000	|  Best result at epoch 36
43	0.6908	0.6890	|	0.6286	0.0000	0.0000	0.0000	|	0.5628	0.0000	0.0000	0.0000	|	0.5220	0.0000	0.0000	0.0000	|  Best result at epoch 36
44	0.6908	0.6889	|	0.6323	0.0000	0.0000	0.0000	|	0.5623	0.0000	0.0000	0.0000	|	0.5236	0.0000	0.0000	0.0000	|  Best result at epoch 36
45	0.6908	0.6889	|	0.6365	0.0000	0.0000	0.0000	|	0.5595	0.0000	0.0000	0.0000	|	0.5271	0.0000	0.0000	0.0000	|  Best result at epoch 36
46	0.6908	0.6889	|	0.6389	0.0000	0.0000	0.0000	|	0.5595	0.0000	0.0000	0.0000	|	0.5277	0.0000	0.0000	0.0000	|  Best result at epoch 36
47	0.6908	0.6889	|	0.6419	0.0000	0.0000	0.0000	|	0.5582	0.0000	0.0000	0.0000	|	0.5282	0.0000	0.0000	0.0000	|  Best result at epoch 36
48	0.6908	0.6889	|	0.6446	0.0000	0.0000	0.0000	|	0.5570	0.0000	0.0000	0.0000	|	0.5284	0.0000	0.0000	0.0000	|  Best result at epoch 36
49	0.6908	0.6889	|	0.6474	0.0000	0.0000	0.0000	|	0.5569	0.0000	0.0000	0.0000	|	0.5285	0.0000	0.0000	0.0000	|  Best result at epoch 36
50	0.6908	0.6889	|	0.6502	0.0000	0.0000	0.0000	|	0.5554	0.0000	0.0000	0.0000	|	0.5292	0.0000	0.0000	0.0000	|  Best result at epoch 36
51	0.6907	0.6889	|	0.6531	0.0000	0.0000	0.0000	|	0.5555	0.0000	0.0000	0.0000	|	0.5305	0.0000	0.0000	0.0000	|  Best result at epoch 36
52	0.6907	0.6888	|	0.6551	0.0000	0.0000	0.0000	|	0.5568	0.0000	0.0000	0.0000	|	0.5316	0.0000	0.0000	0.0000	|  Best result at epoch 36
53	0.6906	0.6888	|	0.6574	0.0000	0.0000	0.0000	|	0.5580	0.0000	0.0000	0.0000	|	0.5328	0.0000	0.0000	0.0000	|  Best result at epoch 36
54	0.6903	0.6887	|	0.6635	0.0000	0.0000	0.0000	|	0.5602	0.0000	0.0000	0.0000	|	0.5333	0.0000	0.0000	0.0000	|  Best result at epoch 36
55	0.6896	0.6884	|	0.6675	0.0000	0.0000	0.0000	|	0.5572	0.0000	0.0000	0.0000	|	0.5342	0.0000	0.0000	0.0000	|  Best result at epoch 36
56	0.6895	0.6881	|	0.6735	0.0000	0.0000	0.0000	|	0.5635	0.0000	0.0000	0.0000	|	0.5303	0.0000	0.0000	0.0000	|  Best result at epoch 36
57	0.6868	0.6876	|	0.6843	0.0000	0.0000	0.0000	|	0.5586	0.0000	0.0000	0.0000	|	0.5320	0.0000	0.0000	0.0000	|  Best result at epoch 36
58	0.6850	0.6880	|	0.6894	0.0000	0.0000	0.0000	|	0.5617	0.0000	0.0000	0.0000	|	0.5286	0.0000	0.0000	0.0000	|  Best result at epoch 36
59	0.6874	0.6868	|	0.6678	0.0000	0.0000	0.0000	|	0.5294	0.0000	0.0000	0.0000	|	0.5164	0.0000	0.0000	0.0000	|  Best result at epoch 36
60	0.6809	0.6868	|	0.6996	0.0000	0.0000	0.0000	|	0.5516	0.0000	0.0000	0.0000	|	0.5311	0.0000	0.0000	0.0000	|  Best result at epoch 36
61	0.6780	0.6878	|	0.6995	0.6584	0.5514	0.8170	|	0.5614	0.5912	0.4759	0.7801	|	0.5290	0.5882	0.4896	0.7365	|  Best result at epoch 36
62	0.6846	0.6879	|	0.6903	0.0000	0.0000	0.0000	|	0.5449	0.0000	0.0000	0.0000	|	0.5194	0.0000	0.0000	0.0000	|  Best result at epoch 36
63	0.6740	0.6868	|	0.7014	0.4448	0.6600	0.3355	|	0.5387	0.3514	0.5039	0.2697	|	0.5242	0.3329	0.5112	0.2468	|  Best result at epoch 36
64	0.6686	0.6906	|	0.7096	0.6613	0.5303	0.8782	|	0.5584	0.6104	0.4747	0.8548	|	0.5272	0.6136	0.4903	0.8198	|  Best result at epoch 36
65	0.6741	0.6899	|	0.7175	0.6633	0.5564	0.8213	|	0.5576	0.5841	0.4730	0.7635	|	0.5265	0.5865	0.4886	0.7336	|  Best result at epoch 36
66	0.6647	0.6909	|	0.7141	0.6794	0.6459	0.7166	|	0.5487	0.5134	0.4769	0.5560	|	0.5220	0.5178	0.4912	0.5475	|  Best result at epoch 36
67	0.6416	0.6955	|	0.7296	0.6933	0.6705	0.7177	|	0.5511	0.5088	0.4815	0.5394	|	0.5267	0.5059	0.4908	0.5220	|  Best result at epoch 36
68	0.6305	0.6997	|	0.7357	0.6973	0.6407	0.7649	|	0.5524	0.5474	0.4886	0.6224	|	0.5260	0.5407	0.4904	0.6024	|  Best result at epoch 36
69	0.6270	0.7016	|	0.7397	0.6265	0.6929	0.5717	|	0.5583	0.4176	0.4737	0.3734	|	0.5319	0.4198	0.4915	0.3663	|  Best result at epoch 36
70	0.6331	0.7097	|	0.7419	0.7139	0.6684	0.7660	|	0.5525	0.5281	0.4812	0.5851	|	0.5262	0.5317	0.4909	0.5798	|  Best result at epoch 36
71	0.6108	0.7137	|	0.7454	0.6964	0.6893	0.7037	|	0.5516	0.4847	0.4760	0.4938	|	0.5284	0.4939	0.4941	0.4936	|  Best result at epoch 36
72	0.6063	0.7309	|	0.7472	0.7061	0.6393	0.7885	|	0.5513	0.5400	0.4720	0.6307	|	0.5266	0.5574	0.4939	0.6396	|  Best result at epoch 36
73	0.6115	0.7214	|	0.7489	0.6468	0.7111	0.5931	|	0.5484	0.4240	0.4767	0.3817	|	0.5275	0.4246	0.4941	0.3722	|  Best result at epoch 36
74	0.6148	0.7315	|	0.7523	0.7164	0.6988	0.7348	|	0.5488	0.4960	0.4788	0.5145	|	0.5268	0.5022	0.4943	0.5103	|  Best result at epoch 36
75	0.5890	0.7395	|	0.7547	0.7257	0.7063	0.7461	|	0.5486	0.4990	0.4808	0.5187	|	0.5272	0.5050	0.4953	0.5152	|  Best result at epoch 36
76	0.5809	0.7488	|	0.7571	0.7301	0.7099	0.7515	|	0.5477	0.5020	0.4828	0.5228	|	0.5271	0.5019	0.4911	0.5132	|  Best result at epoch 36
77	0.5746	0.7567	|	0.7594	0.7345	0.7177	0.7520	|	0.5470	0.4909	0.4802	0.5021	|	0.5265	0.4968	0.4951	0.4985	|  Best result at epoch 36
78	0.5686	0.7698	|	0.7619	0.7391	0.7183	0.7611	|	0.5482	0.5020	0.4792	0.5270	|	0.5261	0.5078	0.4935	0.5230	|  Best result at epoch 36
79	0.5631	0.7659	|	0.7638	0.7133	0.7238	0.7032	|	0.5461	0.4764	0.4933	0.4606	|	0.5262	0.4731	0.4957	0.4525	|  Best result at epoch 36
80	0.5682	0.8054	|	0.7662	0.6995	0.6146	0.8116	|	0.5517	0.5552	0.4749	0.6680	|	0.5260	0.5598	0.4870	0.6582	|  Best result at epoch 36
81	0.6176	0.7621	|	0.7689	0.7246	0.7409	0.7091	|	0.5467	0.4670	0.4977	0.4398	|	0.5268	0.4511	0.4897	0.4182	|  Best result at epoch 36
82	0.5635	0.7800	|	0.7719	0.7350	0.6937	0.7815	|	0.5477	0.5226	0.4777	0.5768	|	0.5266	0.5267	0.4903	0.5690	|  Best result at epoch 36
83	0.5654	0.7766	|	0.7727	0.7428	0.7486	0.7370	|	0.5462	0.4652	0.4886	0.4440	|	0.5267	0.4655	0.4945	0.4398	|  Best result at epoch 36
84	0.5505	0.7887	|	0.7757	0.7500	0.7357	0.7649	|	0.5457	0.4857	0.4779	0.4938	|	0.5261	0.4941	0.4936	0.4946	|  Best result at epoch 36
85	0.5442	0.7952	|	0.7778	0.7510	0.7565	0.7456	|	0.5462	0.4662	0.4908	0.4440	|	0.5263	0.4670	0.4978	0.4398	|  Best result at epoch 36
86	0.5406	0.8092	|	0.7805	0.7508	0.7248	0.7789	|	0.5463	0.5020	0.4792	0.5270	|	0.5252	0.5167	0.4964	0.5387	|  Best result at epoch 36
