Training log:
epoch	loss	v_loss	|	tr_maf1	tr_f1	tr_pre	tr_rec	|	v_auc	v_f1	v_pre	v_rec	|	t_maf1	t_f1	t_pre	t_rec
34	0.5836	0.5406	|	0.2641	0.6559	0.6559	0.6559	|	0.2381	0.5556	0.5556	0.5556	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
35	0.5426	0.8259	|	0.2641	0.6559	0.6559	0.6559	|	0.2381	0.5556	0.5556	0.5556	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
36	0.8392	0.9267	|	0.1372	0.2258	0.2258	0.2258	|	0.1212	0.2222	0.2222	0.2222	|	0.1711	0.2788	0.2788	0.2788	|  Best result at epoch 0
37	0.9283	0.8551	|	0.2641	0.6559	0.6559	0.6559	|	0.2381	0.5556	0.5556	0.5556	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
38	0.8568	0.7863	|	0.2641	0.6559	0.6559	0.6559	|	0.2381	0.5556	0.5556	0.5556	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
39	0.7890	0.7222	|	0.2641	0.6559	0.6559	0.6559	|	0.2381	0.5556	0.5556	0.5556	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
40	0.7247	0.6615	|	0.2641	0.6559	0.6559	0.6559	|	0.2381	0.5556	0.5556	0.5556	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
41	0.6636	0.6038	|	0.2641	0.6559	0.6559	0.6559	|	0.2381	0.5556	0.5556	0.5556	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
42	0.6044	0.5621	|	0.2641	0.6559	0.6559	0.6559	|	0.2381	0.5556	0.5556	0.5556	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
43	0.5649	0.5299	|	0.2641	0.6559	0.6559	0.6559	|	0.2381	0.5556	0.5556	0.5556	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
44	0.5303	0.4840	|	0.2641	0.6559	0.6559	0.6559	|	0.2381	0.5556	0.5556	0.5556	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
45	0.4854	0.4653	|	0.2921	0.6559	0.6559	0.6559	|	0.2381	0.5556	0.5556	0.5556	|	0.3025	0.6875	0.6875	0.6875	|  Best result at epoch 0
46	0.4662	0.4978	|	0.4884	0.7634	0.7634	0.7634	|	0.6111	0.7778	0.7778	0.7778	|	0.4932	0.7861	0.7861	0.7861	|  Best result at epoch 46
47	0.5026	0.7149	|	0.4401	0.6344	0.6344	0.6344	|	0.3386	0.4444	0.4444	0.4444	|	0.4037	0.5938	0.5938	0.5938	|  Best result at epoch 46
48	0.7168	0.5081	|	0.2641	0.6559	0.6559	0.6559	|	0.2381	0.5556	0.5556	0.5556	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 46
49	0.5079	0.4315	|	0.3255	0.6774	0.6774	0.6774	|	0.2381	0.5556	0.5556	0.5556	|	0.3041	0.6971	0.6971	0.6971	|  Best result at epoch 46
50	0.4337	0.4383	|	0.5534	0.8172	0.8172	0.8172	|	0.4167	0.5556	0.5556	0.5556	|	0.4870	0.7468	0.7468	0.7468	|  Best result at epoch 46
51	0.4395	0.3891	|	0.5821	0.8387	0.8387	0.8387	|	0.6111	0.7778	0.7778	0.7778	|	0.4975	0.7861	0.7861	0.7861	|  Best result at epoch 46
52	0.3933	0.7294	|	0.4401	0.6344	0.6344	0.6344	|	0.3386	0.4444	0.4444	0.4444	|	0.4060	0.5986	0.5986	0.5986	|  Best result at epoch 46
53	0.7323	0.4957	|	0.5172	0.7527	0.7527	0.7527	|	0.4222	0.5556	0.5556	0.5556	|	0.4572	0.7131	0.7131	0.7131	|  Best result at epoch 46
54	0.4958	0.4067	|	0.5787	0.8280	0.8280	0.8280	|	0.3386	0.4444	0.4444	0.4444	|	0.4998	0.7604	0.7604	0.7604	|  Best result at epoch 46
