Training log:
epoch	loss	v_loss	|	tr_maf1	tr_f1	tr_pre	tr_rec	|	v_auc	v_f1	v_pre	v_rec	|	t_maf1	t_f1	t_pre	t_rec
34	0.7702	0.7552	|	0.5728	0.6058	0.6058	0.6058	|	0.6169	0.6524	0.6524	0.6524	|	0.5414	0.5854	0.5854	0.5854	|  Best result at epoch 31
35	0.7548	0.7414	|	0.5759	0.6073	0.6073	0.6073	|	0.6210	0.6524	0.6524	0.6524	|	0.5304	0.5793	0.5793	0.5793	|  Best result at epoch 31
36	0.7410	0.7288	|	0.5863	0.6119	0.6119	0.6119	|	0.6297	0.6585	0.6585	0.6585	|	0.5233	0.5732	0.5732	0.5732	|  Best result at epoch 31
37	0.7284	0.7178	|	0.5861	0.6119	0.6119	0.6119	|	0.6391	0.6707	0.6707	0.6707	|	0.5535	0.5915	0.5915	0.5915	|  Best result at epoch 31
38	0.7174	0.7192	|	0.5950	0.6073	0.6073	0.6073	|	0.6741	0.6768	0.6768	0.6768	|	0.5751	0.6037	0.6037	0.6037	|  Best result at epoch 38
39	0.7190	0.8107	|	0.6258	0.6469	0.6469	0.6469	|	0.6066	0.6341	0.6341	0.6341	|	0.5609	0.5915	0.5915	0.5915	|  Best result at epoch 38
40	0.8105	0.8358	|	0.4934	0.5297	0.5297	0.5297	|	0.4482	0.5549	0.5549	0.5549	|	0.5882	0.6159	0.6159	0.6159	|  Best result at epoch 38
41	0.8360	0.7273	|	0.5461	0.5586	0.5586	0.5586	|	0.5279	0.5122	0.5122	0.5122	|	0.5319	0.5305	0.5305	0.5305	|  Best result at epoch 38
42	0.7268	0.7049	|	0.5972	0.6164	0.6164	0.6164	|	0.6597	0.6707	0.6707	0.6707	|	0.5709	0.5976	0.5976	0.5976	|  Best result at epoch 38
43	0.7045	0.6971	|	0.6004	0.6195	0.6195	0.6195	|	0.6377	0.6585	0.6585	0.6585	|	0.5857	0.6098	0.6098	0.6098	|  Best result at epoch 38
44	0.6967	0.6912	|	0.5902	0.6088	0.6088	0.6088	|	0.6521	0.6646	0.6646	0.6646	|	0.5891	0.6159	0.6159	0.6159	|  Best result at epoch 38
45	0.6909	0.6861	|	0.6105	0.6256	0.6256	0.6256	|	0.6564	0.6646	0.6646	0.6646	|	0.6022	0.6159	0.6159	0.6159	|  Best result at epoch 38
46	0.6857	0.6815	|	0.6163	0.6256	0.6256	0.6256	|	0.6678	0.6707	0.6707	0.6707	|	0.6021	0.6220	0.6220	0.6220	|  Best result at epoch 38
47	0.6812	0.6778	|	0.6547	0.6575	0.6575	0.6575	|	0.6728	0.6707	0.6707	0.6707	|	0.6167	0.6220	0.6220	0.6220	|  Best result at epoch 38
48	0.6775	0.6798	|	0.6120	0.6195	0.6195	0.6195	|	0.6588	0.6707	0.6707	0.6707	|	0.5966	0.6220	0.6220	0.6220	|  Best result at epoch 38
49	0.6795	0.7118	|	0.6669	0.6530	0.6530	0.6530	|	0.6573	0.6280	0.6280	0.6280	|	0.6180	0.6037	0.6037	0.6037	|  Best result at epoch 38
50	0.7115	0.7684	|	0.5616	0.5799	0.5799	0.5799	|	0.5404	0.5915	0.5915	0.5915	|	0.6011	0.6280	0.6280	0.6280	|  Best result at epoch 38
51	0.7686	0.7369	|	0.6138	0.6149	0.6149	0.6149	|	0.6169	0.5976	0.5976	0.5976	|	0.5755	0.5671	0.5671	0.5671	|  Best result at epoch 38
52	0.7365	0.6943	|	0.6320	0.6317	0.6317	0.6317	|	0.6632	0.6585	0.6585	0.6585	|	0.6407	0.6463	0.6463	0.6463	|  Best result at epoch 38
53	0.6940	0.6576	|	0.6668	0.6728	0.6728	0.6728	|	0.6822	0.6829	0.6829	0.6829	|	0.6461	0.6524	0.6524	0.6524	|  Best result at epoch 53
54	0.6572	0.6429	|	0.6502	0.6545	0.6545	0.6545	|	0.6958	0.6890	0.6890	0.6890	|	0.6266	0.6341	0.6341	0.6341	|  Best result at epoch 54
55	0.6425	0.6285	|	0.7442	0.7382	0.7382	0.7382	|	0.7380	0.7256	0.7256	0.7256	|	0.7214	0.7134	0.7134	0.7134	|  Best result at epoch 55
56	0.6280	0.6296	|	0.6570	0.6606	0.6606	0.6606	|	0.6936	0.6951	0.6951	0.6951	|	0.6466	0.6585	0.6585	0.6585	|  Best result at epoch 55
57	0.6292	0.6958	|	0.5682	0.5951	0.5951	0.5951	|	0.5490	0.5366	0.5366	0.5366	|	0.5772	0.5854	0.5854	0.5854	|  Best result at epoch 55
58	0.6952	0.6225	|	0.6664	0.6621	0.6621	0.6621	|	0.6931	0.6951	0.6951	0.6951	|	0.6859	0.6829	0.6829	0.6829	|  Best result at epoch 55
59	0.6222	0.6366	|	0.7879	0.7854	0.7854	0.7854	|	0.7845	0.7744	0.7744	0.7744	|	0.7205	0.7195	0.7195	0.7195	|  Best result at epoch 59
60	0.6360	0.6593	|	0.6817	0.6804	0.6804	0.6804	|	0.6733	0.6890	0.6890	0.6890	|	0.6944	0.6951	0.6951	0.6951	|  Best result at epoch 59
61	0.6592	0.6948	|	0.6416	0.6469	0.6469	0.6469	|	0.6269	0.6037	0.6037	0.6037	|	0.6259	0.6220	0.6220	0.6220	|  Best result at epoch 59
62	0.6940	0.5724	|	0.7706	0.7626	0.7626	0.7626	|	0.7833	0.7805	0.7805	0.7805	|	0.7473	0.7439	0.7439	0.7439	|  Best result at epoch 62
63	0.5719	0.5354	|	0.8218	0.8174	0.8174	0.8174	|	0.8217	0.8110	0.8110	0.8110	|	0.7625	0.7622	0.7622	0.7622	|  Best result at epoch 63
64	0.5347	0.5087	|	0.8222	0.8174	0.8174	0.8174	|	0.7906	0.7805	0.7805	0.7805	|	0.7701	0.7683	0.7683	0.7683	|  Best result at epoch 63
65	0.5081	0.5134	|	0.8306	0.8234	0.8234	0.8234	|	0.8200	0.8110	0.8110	0.8110	|	0.7808	0.7744	0.7744	0.7744	|  Best result at epoch 63
66	0.5126	0.6586	|	0.7403	0.7382	0.7382	0.7382	|	0.7624	0.7622	0.7622	0.7622	|	0.7343	0.7439	0.7439	0.7439	|  Best result at epoch 63
67	0.6584	0.6896	|	0.6774	0.6788	0.6788	0.6788	|	0.6468	0.6220	0.6220	0.6220	|	0.6005	0.5976	0.5976	0.5976	|  Best result at epoch 63
68	0.6885	0.4900	|	0.8393	0.8356	0.8356	0.8356	|	0.8208	0.8110	0.8110	0.8110	|	0.8030	0.7988	0.7988	0.7988	|  Best result at epoch 63
69	0.4895	0.4679	|	0.8435	0.8417	0.8417	0.8417	|	0.8375	0.8354	0.8354	0.8354	|	0.7992	0.7988	0.7988	0.7988	|  Best result at epoch 69
70	0.4672	0.4679	|	0.8413	0.8402	0.8402	0.8402	|	0.8073	0.8049	0.8049	0.8049	|	0.8294	0.8232	0.8232	0.8232	|  Best result at epoch 69
71	0.4673	0.4830	|	0.8264	0.8280	0.8280	0.8280	|	0.8305	0.8293	0.8293	0.8293	|	0.7900	0.7988	0.7988	0.7988	|  Best result at epoch 69
