Training log:
epoch	loss	v_loss	|	tr_maf1	tr_f1	tr_pre	tr_rec	|	v_auc	v_f1	v_pre	v_rec	|	t_maf1	t_f1	t_pre	t_rec
0	1.0962	2.8730	|	0.2734	0.6952	0.6952	0.6952	|	0.2751	0.7027	0.7027	0.7027	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
1	2.8354	1.0612	|	0.2734	0.6952	0.6952	0.6952	|	0.2751	0.7027	0.7027	0.7027	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
2	1.0615	0.9649	|	0.2734	0.6952	0.6952	0.6952	|	0.2751	0.7027	0.7027	0.7027	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
3	0.9647	0.8244	|	0.2734	0.6952	0.6952	0.6952	|	0.2751	0.7027	0.7027	0.7027	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
4	0.8234	0.9480	|	0.2734	0.6952	0.6952	0.6952	|	0.2751	0.7027	0.7027	0.7027	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
5	0.9457	0.9354	|	0.2734	0.6952	0.6952	0.6952	|	0.2751	0.7027	0.7027	0.7027	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
6	0.9376	0.8648	|	0.2734	0.6952	0.6952	0.6952	|	0.2751	0.7027	0.7027	0.7027	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
7	0.8668	0.7984	|	0.2734	0.6952	0.6952	0.6952	|	0.2751	0.7027	0.7027	0.7027	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
8	0.8000	0.7471	|	0.2734	0.6952	0.6952	0.6952	|	0.2751	0.7027	0.7027	0.7027	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
9	0.7480	0.7604	|	0.2734	0.6952	0.6952	0.6952	|	0.2751	0.7027	0.7027	0.7027	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
10	0.7558	0.9265	|	0.2734	0.6952	0.6952	0.6952	|	0.2751	0.7027	0.7027	0.7027	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
11	0.9286	0.8454	|	0.2734	0.6952	0.6952	0.6952	|	0.2751	0.7027	0.7027	0.7027	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
12	0.8478	0.8117	|	0.2734	0.6952	0.6952	0.6952	|	0.2751	0.7027	0.7027	0.7027	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
13	0.8138	0.8311	|	0.2734	0.6952	0.6952	0.6952	|	0.2751	0.7027	0.7027	0.7027	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
14	0.8322	0.7838	|	0.2734	0.6952	0.6952	0.6952	|	0.2751	0.7027	0.7027	0.7027	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
15	0.7850	0.7648	|	0.2734	0.6952	0.6952	0.6952	|	0.2751	0.7027	0.7027	0.7027	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
16	0.7657	0.7368	|	0.2734	0.6952	0.6952	0.6952	|	0.2751	0.7027	0.7027	0.7027	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
17	0.7368	0.8255	|	0.2734	0.6952	0.6952	0.6952	|	0.2751	0.7027	0.7027	0.7027	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
18	0.8270	0.6736	|	0.2734	0.6952	0.6952	0.6952	|	0.2751	0.7027	0.7027	0.7027	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
19	0.6737	0.6462	|	0.2734	0.6952	0.6952	0.6952	|	0.2751	0.7027	0.7027	0.7027	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
20	0.6466	1.6201	|	0.2734	0.6952	0.6952	0.6952	|	0.2751	0.7027	0.7027	0.7027	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
21	1.6026	0.9608	|	0.1199	0.2193	0.2193	0.2193	|	0.1185	0.2162	0.2162	0.2162	|	0.1306	0.2436	0.2436	0.2436	|  Best result at epoch 0
22	0.9635	0.9134	|	0.2734	0.6952	0.6952	0.6952	|	0.2751	0.7027	0.7027	0.7027	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
23	0.9159	0.8715	|	0.2734	0.6952	0.6952	0.6952	|	0.2751	0.7027	0.7027	0.7027	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
24	0.8741	0.8315	|	0.2734	0.6952	0.6952	0.6952	|	0.2751	0.7027	0.7027	0.7027	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
25	0.8345	0.7908	|	0.2734	0.6952	0.6952	0.6952	|	0.2751	0.7027	0.7027	0.7027	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
26	0.7936	0.7392	|	0.2734	0.6952	0.6952	0.6952	|	0.2751	0.7027	0.7027	0.7027	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
27	0.7412	0.6709	|	0.2734	0.6952	0.6952	0.6952	|	0.2751	0.7027	0.7027	0.7027	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
28	0.6724	0.6031	|	0.2734	0.6952	0.6952	0.6952	|	0.2751	0.7027	0.7027	0.7027	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
29	0.6044	0.5449	|	0.2734	0.6952	0.6952	0.6952	|	0.2751	0.7027	0.7027	0.7027	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
30	0.5479	0.4998	|	0.5125	0.7888	0.7888	0.7888	|	0.4798	0.7297	0.7297	0.7297	|	0.4905	0.7652	0.7652	0.7652	|  Best result at epoch 30
31	0.5036	0.5906	|	0.5068	0.8075	0.8075	0.8075	|	0.4297	0.7297	0.7297	0.7297	|	0.4784	0.7804	0.7804	0.7804	|  Best result at epoch 30
32	0.5933	1.1734	|	0.3135	0.4492	0.4492	0.4492	|	0.3196	0.4595	0.4595	0.4595	|	0.3169	0.4583	0.4583	0.4583	|  Best result at epoch 30
33	1.1882	0.5600	|	0.2734	0.6952	0.6952	0.6952	|	0.2751	0.7027	0.7027	0.7027	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 30
34	0.5581	0.5105	|	0.2734	0.6952	0.6952	0.6952	|	0.2751	0.7027	0.7027	0.7027	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 30
35	0.5092	0.4904	|	0.2734	0.6952	0.6952	0.6952	|	0.2751	0.7027	0.7027	0.7027	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 30
