Training log:
epoch	loss	v_loss	|	tr_auc	tr_f1	tr_pre	tr_rec	|	v_auc	v_f1	v_pre	v_rec	|	t_auc	t_f1	t_pre	t_rec
0	0.6907	8.1431	|	0.6711	0.0000	0.0000	0.0000	|	0.6084	0.0000	0.0000	0.0000	|	0.6684	0.0000	0.0000	0.0000	|  Best result at epoch 0
1	8.0226	0.6944	|	0.7061	0.5843	0.4127	1.0000	|	0.6405	0.5595	0.3885	1.0000	|	0.6937	0.5958	0.4243	1.0000	|  Best result at epoch 1
2	0.6945	0.6866	|	0.7204	0.0000	0.0000	0.0000	|	0.6517	0.0000	0.0000	0.0000	|	0.7062	0.0000	0.0000	0.0000	|  Best result at epoch 1
3	0.6862	0.6747	|	0.6801	0.0000	0.0000	0.0000	|	0.6115	0.0000	0.0000	0.0000	|	0.6709	0.0000	0.0000	0.0000	|  Best result at epoch 1
4	0.6732	0.6819	|	0.7000	0.0000	0.0000	0.0000	|	0.6234	0.0000	0.0000	0.0000	|	0.6908	0.0000	0.0000	0.0000	|  Best result at epoch 1
5	0.6785	0.7304	|	0.4354	0.5843	0.4127	1.0000	|	0.4734	0.5595	0.3885	1.0000	|	0.4573	0.5958	0.4243	1.0000	|  Best result at epoch 1
6	0.7324	0.6884	|	0.4531	0.0000	0.0000	0.0000	|	0.4570	0.0000	0.0000	0.0000	|	0.4625	0.0000	0.0000	0.0000	|  Best result at epoch 1
7	0.6880	0.6821	|	0.5464	0.0000	0.0000	0.0000	|	0.5144	0.0000	0.0000	0.0000	|	0.5513	0.0000	0.0000	0.0000	|  Best result at epoch 1
8	0.6809	0.6795	|	0.6312	0.0000	0.0000	0.0000	|	0.5749	0.0000	0.0000	0.0000	|	0.6281	0.0000	0.0000	0.0000	|  Best result at epoch 1
9	0.6778	0.6766	|	0.6833	0.0000	0.0000	0.0000	|	0.6072	0.0000	0.0000	0.0000	|	0.6753	0.0000	0.0000	0.0000	|  Best result at epoch 1
10	0.6745	0.6718	|	0.7261	0.0000	0.0000	0.0000	|	0.6460	0.0000	0.0000	0.0000	|	0.7138	0.0000	0.0000	0.0000	|  Best result at epoch 1
