Training log:
epoch	loss	v_loss	|	tr_auc	tr_f1	tr_pre	tr_rec	|	v_auc	v_f1	v_pre	v_rec	|	t_auc	t_f1	t_pre	t_rec
0	0.6906	8.0983	|	0.6986	0.0000	0.0000	0.0000	|	0.4773	0.0000	0.0000	0.0000	|	0.6672	0.0000	0.0000	0.0000	|  Best result at epoch 0
1	8.1378	0.6945	|	0.7304	0.6282	0.4580	1.0000	|	0.6818	0.6471	0.4783	1.0000	|	0.6984	0.5958	0.4243	1.0000	|  Best result at epoch 1
2	0.6945	0.6862	|	0.7444	0.0000	0.0000	0.0000	|	0.5985	0.0000	0.0000	0.0000	|	0.7110	0.0000	0.0000	0.0000	|  Best result at epoch 1
3	0.6863	0.6738	|	0.7484	0.0000	0.0000	0.0000	|	0.5909	0.0000	0.0000	0.0000	|	0.7076	0.0000	0.0000	0.0000	|  Best result at epoch 1
4	0.6742	0.6705	|	0.7465	0.0000	0.0000	0.0000	|	0.5379	0.0000	0.0000	0.0000	|	0.7031	0.0000	0.0000	0.0000	|  Best result at epoch 1
5	0.6717	0.6985	|	0.5265	0.6282	0.4580	1.0000	|	0.4470	0.6471	0.4783	1.0000	|	0.5114	0.5958	0.4243	1.0000	|  Best result at epoch 1
6	0.6983	0.6846	|	0.5610	0.0000	0.0000	0.0000	|	0.5076	0.0000	0.0000	0.0000	|	0.5089	0.0000	0.0000	0.0000	|  Best result at epoch 1
7	0.6848	0.6779	|	0.6349	0.0000	0.0000	0.0000	|	0.5076	0.0000	0.0000	0.0000	|	0.5752	0.0000	0.0000	0.0000	|  Best result at epoch 1
8	0.6784	0.6754	|	0.7157	0.0000	0.0000	0.0000	|	0.5152	0.0000	0.0000	0.0000	|	0.6588	0.0000	0.0000	0.0000	|  Best result at epoch 1
9	0.6760	0.6721	|	0.7311	0.0000	0.0000	0.0000	|	0.5152	0.0000	0.0000	0.0000	|	0.6839	0.0000	0.0000	0.0000	|  Best result at epoch 1
10	0.6727	0.6661	|	0.7487	0.0000	0.0000	0.0000	|	0.5606	0.0000	0.0000	0.0000	|	0.7071	0.0000	0.0000	0.0000	|  Best result at epoch 1
11	0.6667	0.6636	|	0.7803	0.0000	0.0000	0.0000	|	0.6364	0.0000	0.0000	0.0000	|	0.7368	0.0000	0.0000	0.0000	|  Best result at epoch 1
12	0.6641	0.6757	|	0.7490	0.0000	0.0000	0.0000	|	0.5833	0.0000	0.0000	0.0000	|	0.7070	0.0000	0.0000	0.0000	|  Best result at epoch 1
13	0.6770	0.6537	|	0.8088	0.0000	0.0000	0.0000	|	0.7197	0.0000	0.0000	0.0000	|	0.7688	0.0000	0.0000	0.0000	|  Best result at epoch 1
14	0.6542	0.6258	|	0.8263	0.0000	0.0000	0.0000	|	0.7879	0.0000	0.0000	0.0000	|	0.7877	0.0000	0.0000	0.0000	|  Best result at epoch 1
15	0.6265	0.5969	|	0.8254	0.3088	0.7778	0.1927	|	0.7576	0.4286	1.0000	0.2727	|	0.7870	0.2816	0.7117	0.1756	|  Best result at epoch 1
16	0.5972	0.7759	|	0.8314	0.0360	1.0000	0.0183	|	0.7348	0.0000	0.0000	0.0000	|	0.7973	0.0335	1.0000	0.0170	|  Best result at epoch 1
17	0.7791	0.6669	|	0.8078	0.7286	0.5965	0.9358	|	0.7879	0.6923	0.6000	0.8182	|	0.7508	0.6599	0.5168	0.9126	|  Best result at epoch 17
18	0.6666	0.6033	|	0.8341	0.7343	0.7755	0.6972	|	0.8333	0.7273	0.7273	0.7273	|	0.8059	0.7144	0.7525	0.6800	|  Best result at epoch 18
19	0.6034	0.5684	|	0.8441	0.6911	0.8049	0.6055	|	0.8561	0.8000	0.8889	0.7273	|	0.8125	0.6867	0.8028	0.6000	|  Best result at epoch 19
20	0.5688	0.5340	|	0.8450	0.7560	0.7900	0.7248	|	0.8258	0.7273	0.7273	0.7273	|	0.8110	0.7202	0.7609	0.6837	|  Best result at epoch 19
21	0.5342	0.4961	|	0.8479	0.7778	0.7850	0.7706	|	0.8485	0.7273	0.7273	0.7273	|	0.8127	0.7277	0.7340	0.7215	|  Best result at epoch 19
22	0.4963	0.4731	|	0.8481	0.7451	0.8000	0.6972	|	0.8561	0.7619	0.8000	0.7273	|	0.8181	0.7098	0.7759	0.6541	|  Best result at epoch 19
23	0.4744	0.9302	|	0.8178	0.6823	0.5368	0.9358	|	0.8864	0.7857	0.6471	1.0000	|	0.7881	0.6411	0.4860	0.9415	|  Best result at epoch 19
24	0.9263	0.8631	|	0.8433	0.0360	1.0000	0.0183	|	0.8409	0.1667	1.0000	0.0909	|	0.8082	0.0687	1.0000	0.0356	|  Best result at epoch 19
25	0.8678	0.5647	|	0.8449	0.6057	0.8030	0.4862	|	0.8636	0.8421	1.0000	0.7273	|	0.8232	0.6517	0.8235	0.5393	|  Best result at epoch 25
26	0.5657	0.5370	|	0.8477	0.6702	0.7975	0.5780	|	0.8561	0.8000	0.8889	0.7273	|	0.8236	0.6845	0.8020	0.5970	|  Best result at epoch 25
27	0.5380	0.5106	|	0.8481	0.7488	0.8085	0.6972	|	0.8788	0.7273	0.7273	0.7273	|	0.8235	0.7021	0.7765	0.6407	|  Best result at epoch 25
28	0.5115	0.4871	|	0.8489	0.7549	0.8105	0.7064	|	0.8788	0.7273	0.7273	0.7273	|	0.8226	0.7067	0.7685	0.6541	|  Best result at epoch 25
29	0.4881	0.4683	|	0.8506	0.7596	0.7980	0.7248	|	0.8788	0.7273	0.7273	0.7273	|	0.8216	0.7142	0.7633	0.6711	|  Best result at epoch 25
30	0.4695	0.4540	|	0.8510	0.7596	0.7980	0.7248	|	0.8788	0.7273	0.7273	0.7273	|	0.8211	0.7147	0.7635	0.6719	|  Best result at epoch 25
31	0.4554	0.4441	|	0.8515	0.7606	0.7788	0.7431	|	0.8788	0.7273	0.7273	0.7273	|	0.8202	0.7201	0.7421	0.6993	|  Best result at epoch 25
32	0.4457	0.4523	|	0.8518	0.7437	0.8222	0.6789	|	0.8712	0.8000	0.8889	0.7273	|	0.8221	0.6889	0.7895	0.6111	|  Best result at epoch 25
33	0.4547	0.5801	|	0.8464	0.7328	0.6275	0.8807	|	0.8712	0.7500	0.6923	0.8182	|	0.8142	0.6959	0.5774	0.8756	|  Best result at epoch 25
34	0.5797	0.5721	|	0.8526	0.5256	0.8723	0.3761	|	0.8712	0.5333	1.0000	0.3636	|	0.8234	0.5550	0.8808	0.4052	|  Best result at epoch 25
35	0.5761	0.4900	|	0.8529	0.7644	0.7414	0.7890	|	0.8636	0.7273	0.7273	0.7273	|	0.8178	0.7296	0.6905	0.7733	|  Best result at epoch 25
36	0.4905	0.4565	|	0.8522	0.7778	0.7850	0.7706	|	0.8712	0.7273	0.7273	0.7273	|	0.8198	0.7247	0.7340	0.7156	|  Best result at epoch 25
37	0.4577	0.4424	|	0.8526	0.7700	0.7885	0.7523	|	0.8788	0.7273	0.7273	0.7273	|	0.8211	0.7178	0.7574	0.6822	|  Best result at epoch 25
38	0.4441	0.4348	|	0.8528	0.7678	0.7941	0.7431	|	0.8788	0.7273	0.7273	0.7273	|	0.8212	0.7150	0.7583	0.6763	|  Best result at epoch 25
39	0.4367	0.4289	|	0.8536	0.7700	0.7885	0.7523	|	0.8788	0.7273	0.7273	0.7273	|	0.8211	0.7166	0.7564	0.6807	|  Best result at epoch 25
40	0.4310	0.4241	|	0.8542	0.7736	0.7961	0.7523	|	0.8788	0.7273	0.7273	0.7273	|	0.8212	0.7141	0.7554	0.6770	|  Best result at epoch 25
41	0.4264	0.4202	|	0.8550	0.7736	0.7961	0.7523	|	0.8788	0.7273	0.7273	0.7273	|	0.8213	0.7169	0.7535	0.6837	|  Best result at epoch 25
42	0.4226	0.4168	|	0.8561	0.7810	0.8119	0.7523	|	0.8712	0.7273	0.7273	0.7273	|	0.8218	0.7152	0.7589	0.6763	|  Best result at epoch 25
43	0.4193	0.4148	|	0.8580	0.7814	0.7925	0.7706	|	0.8864	0.7273	0.7273	0.7273	|	0.8216	0.7193	0.7456	0.6948	|  Best result at epoch 25
44	0.4174	0.4212	|	0.8578	0.7426	0.8065	0.6881	|	0.8864	0.7273	0.7273	0.7273	|	0.8232	0.7032	0.7859	0.6363	|  Best result at epoch 25
45	0.4242	0.4438	|	0.8571	0.7636	0.7568	0.7706	|	0.8864	0.7273	0.7273	0.7273	|	0.8208	0.7251	0.7015	0.7504	|  Best result at epoch 25
46	0.4460	0.4415	|	0.8575	0.6979	0.8072	0.6147	|	0.8788	0.8000	0.8889	0.7273	|	0.8246	0.6756	0.8133	0.5778	|  Best result at epoch 25
