Training log:
epoch	loss	v_loss	|	tr_auc	tr_f1	tr_pre	tr_rec	|	v_auc	v_f1	v_pre	v_rec	|	t_auc	t_f1	t_pre	t_rec
0	0.6906	7.8678	|	0.6719	0.0000	0.0000	0.0000	|	0.6674	0.0000	0.0000	0.0000	|	0.6677	0.0000	0.0000	0.0000	|  Best result at epoch 0
1	8.1083	0.6947	|	0.6691	0.6068	0.4355	1.0000	|	0.6677	0.6282	0.4579	1.0000	|	0.6602	0.5958	0.4243	1.0000	|  Best result at epoch 1
2	0.6945	0.6865	|	0.7048	0.0000	0.0000	0.0000	|	0.6808	0.0000	0.0000	0.0000	|	0.6992	0.0000	0.0000	0.0000	|  Best result at epoch 1
3	0.6874	0.6744	|	0.6948	0.0000	0.0000	0.0000	|	0.6700	0.0000	0.0000	0.0000	|	0.6846	0.0000	0.0000	0.0000	|  Best result at epoch 1
4	0.6773	0.6656	|	0.7010	0.0000	0.0000	0.0000	|	0.6774	0.0000	0.0000	0.0000	|	0.6919	0.0000	0.0000	0.0000	|  Best result at epoch 1
5	0.6733	0.6813	|	0.7599	0.0000	0.0000	0.0000	|	0.7311	0.0000	0.0000	0.0000	|	0.7392	0.0000	0.0000	0.0000	|  Best result at epoch 1
6	0.6826	0.6626	|	0.7699	0.0000	0.0000	0.0000	|	0.7371	0.0000	0.0000	0.0000	|	0.7490	0.0000	0.0000	0.0000	|  Best result at epoch 1
7	0.6668	0.6518	|	0.7833	0.0000	0.0000	0.0000	|	0.7594	0.0000	0.0000	0.0000	|	0.7614	0.0000	0.0000	0.0000	|  Best result at epoch 1
8	0.6567	0.6357	|	0.7986	0.0000	0.0000	0.0000	|	0.7792	0.0000	0.0000	0.0000	|	0.7767	0.0000	0.0000	0.0000	|  Best result at epoch 1
9	0.6407	0.6121	|	0.8158	0.0096	0.6667	0.0048	|	0.7999	0.0000	0.0000	0.0000	|	0.7948	0.0074	0.8333	0.0037	|  Best result at epoch 1
10	0.6168	0.6080	|	0.8291	0.0400	0.8500	0.0205	|	0.8039	0.0225	0.5000	0.0115	|	0.8039	0.0234	0.9412	0.0119	|  Best result at epoch 1
11	0.6176	0.6781	|	0.7179	0.6709	0.5195	0.9471	|	0.6821	0.6695	0.5302	0.9080	|	0.6817	0.6437	0.4892	0.9407	|  Best result at epoch 11
12	0.6774	0.5738	|	0.8396	0.2169	0.8125	0.1252	|	0.8163	0.1818	0.7500	0.1034	|	0.8134	0.2486	0.8148	0.1467	|  Best result at epoch 11
13	0.5789	0.5483	|	0.8447	0.5949	0.8684	0.4525	|	0.8179	0.5440	0.8947	0.3908	|	0.8158	0.5872	0.8487	0.4489	|  Best result at epoch 11
14	0.5552	0.5558	|	0.8162	0.7521	0.7172	0.7906	|	0.7973	0.7500	0.7416	0.7586	|	0.7824	0.7240	0.6754	0.7800	|  Best result at epoch 14
