Training log:
epoch	loss	v_loss	|	tr_auc	tr_f1	tr_pre	tr_rec	|	v_auc	v_f1	v_pre	v_rec	|	t_auc	t_f1	t_pre	t_rec
34	0.4373	0.4297	|	0.8488	0.7500	0.8011	0.7050	|	0.8346	0.7442	0.6667	0.8421	|	0.8201	0.7169	0.7490	0.6874	|  Best result at epoch 20
35	0.4320	0.4255	|	0.8515	0.7606	0.8125	0.7150	|	0.8327	0.7442	0.6667	0.8421	|	0.8207	0.7170	0.7466	0.6896	|  Best result at epoch 20
36	0.4278	0.4216	|	0.8536	0.7507	0.8092	0.7000	|	0.8346	0.7442	0.6667	0.8421	|	0.8214	0.7167	0.7504	0.6859	|  Best result at epoch 20
37	0.4239	0.4182	|	0.8558	0.7737	0.8167	0.7350	|	0.8346	0.7442	0.6667	0.8421	|	0.8221	0.7183	0.7452	0.6933	|  Best result at epoch 20
38	0.4204	0.4159	|	0.8593	0.7446	0.8155	0.6850	|	0.8327	0.7619	0.6957	0.8421	|	0.8226	0.7130	0.7644	0.6681	|  Best result at epoch 20
39	0.4186	0.4254	|	0.8587	0.7711	0.7673	0.7750	|	0.8308	0.7111	0.6154	0.8421	|	0.8238	0.7163	0.7063	0.7267	|  Best result at epoch 20
40	0.4271	0.4524	|	0.8581	0.6585	0.8560	0.5350	|	0.8271	0.7027	0.7222	0.6842	|	0.8250	0.6808	0.8211	0.5815	|  Best result at epoch 20
41	0.4567	0.4424	|	0.8592	0.7560	0.7248	0.7900	|	0.8271	0.7111	0.6154	0.8421	|	0.8242	0.7172	0.6844	0.7533	|  Best result at epoch 20
42	0.4438	0.4391	|	0.8645	0.6829	0.8750	0.5600	|	0.8346	0.7027	0.7222	0.6842	|	0.8262	0.6854	0.8226	0.5874	|  Best result at epoch 20
43	0.4427	0.4177	|	0.8650	0.7719	0.7739	0.7700	|	0.8327	0.7111	0.6154	0.8421	|	0.8249	0.7177	0.7096	0.7259	|  Best result at epoch 20
44	0.4193	0.4156	|	0.8693	0.7175	0.8247	0.6350	|	0.8346	0.7500	0.7143	0.7895	|	0.8269	0.7000	0.7987	0.6230	|  Best result at epoch 20
45	0.4192	0.4143	|	0.8691	0.7761	0.7723	0.7800	|	0.8346	0.7111	0.6154	0.8421	|	0.8258	0.7180	0.7074	0.7289	|  Best result at epoch 20
46	0.4158	0.4172	|	0.8736	0.7251	0.8732	0.6200	|	0.8346	0.7500	0.7143	0.7895	|	0.8285	0.6943	0.8103	0.6074	|  Best result at epoch 20
47	0.4209	0.3972	|	0.8772	0.7540	0.8103	0.7050	|	0.8327	0.7619	0.6957	0.8421	|	0.8268	0.7131	0.7550	0.6756	|  Best result at epoch 20
48	0.3996	0.3944	|	0.8781	0.7540	0.8103	0.7050	|	0.8327	0.7619	0.6957	0.8421	|	0.8271	0.7141	0.7554	0.6770	|  Best result at epoch 20
49	0.3968	0.3921	|	0.8801	0.7507	0.8092	0.7000	|	0.8327	0.7619	0.6957	0.8421	|	0.8273	0.7156	0.7560	0.6793	|  Best result at epoch 20
50	0.3945	0.3899	|	0.8813	0.7520	0.8057	0.7050	|	0.8346	0.7619	0.6957	0.8421	|	0.8274	0.7129	0.7529	0.6770	|  Best result at epoch 20
51	0.3922	0.3875	|	0.8828	0.7520	0.8057	0.7050	|	0.8365	0.7619	0.6957	0.8421	|	0.8277	0.7117	0.7529	0.6748	|  Best result at epoch 20
52	0.3899	0.3852	|	0.8842	0.7586	0.8079	0.7150	|	0.8383	0.7619	0.6957	0.8421	|	0.8278	0.7133	0.7545	0.6763	|  Best result at epoch 20
53	0.3875	0.3827	|	0.8859	0.7586	0.8079	0.7150	|	0.8365	0.7619	0.6957	0.8421	|	0.8279	0.7126	0.7548	0.6748	|  Best result at epoch 20
54	0.3851	0.3803	|	0.8871	0.7717	0.8122	0.7350	|	0.8402	0.7619	0.6957	0.8421	|	0.8280	0.7141	0.7554	0.6770	|  Best result at epoch 20
55	0.3826	0.3778	|	0.8893	0.7606	0.8125	0.7150	|	0.8421	0.7619	0.6957	0.8421	|	0.8282	0.7139	0.7615	0.6719	|  Best result at epoch 20
56	0.3801	0.3762	|	0.8904	0.7749	0.8132	0.7400	|	0.8402	0.7619	0.6957	0.8421	|	0.8279	0.7151	0.7468	0.6859	|  Best result at epoch 20
57	0.3783	0.3779	|	0.8920	0.7542	0.8544	0.6750	|	0.8440	0.7619	0.6957	0.8421	|	0.8289	0.7064	0.7805	0.6452	|  Best result at epoch 20
58	0.3808	0.3977	|	0.8871	0.7781	0.7761	0.7800	|	0.8421	0.7111	0.6154	0.8421	|	0.8264	0.7139	0.7009	0.7274	|  Best result at epoch 20
59	0.3991	0.4034	|	0.8904	0.7104	0.8815	0.5950	|	0.8459	0.7222	0.7647	0.6842	|	0.8296	0.6854	0.8257	0.5859	|  Best result at epoch 20
60	0.4069	0.3942	|	0.8904	0.7809	0.7868	0.7750	|	0.8402	0.7273	0.6400	0.8421	|	0.8255	0.7152	0.7069	0.7237	|  Best result at epoch 20
61	0.3954	0.3740	|	0.8952	0.7493	0.8581	0.6650	|	0.8496	0.7317	0.6818	0.7895	|	0.8295	0.7045	0.7913	0.6348	|  Best result at epoch 20
62	0.3769	0.3725	|	0.8957	0.7846	0.8053	0.7650	|	0.8477	0.7619	0.6957	0.8421	|	0.8273	0.7133	0.7278	0.6993	|  Best result at epoch 20
63	0.3742	0.3679	|	0.8981	0.7619	0.8662	0.6800	|	0.8515	0.7619	0.6957	0.8421	|	0.8293	0.7046	0.7870	0.6378	|  Best result at epoch 20
64	0.3707	0.3678	|	0.8987	0.7877	0.8063	0.7700	|	0.8459	0.7619	0.6957	0.8421	|	0.8271	0.7130	0.7273	0.6993	|  Best result at epoch 20
65	0.3696	0.3656	|	0.8995	0.7557	0.8750	0.6650	|	0.8534	0.7000	0.6667	0.7368	|	0.8292	0.7034	0.7966	0.6296	|  Best result at epoch 20
66	0.3686	0.3717	|	0.9004	0.7857	0.8021	0.7700	|	0.8534	0.7442	0.6667	0.8421	|	0.8258	0.7099	0.7147	0.7052	|  Best result at epoch 20
