Training log:
epoch	loss	v_loss	|	tr_auc	tr_f1	tr_pre	tr_rec	|	v_auc	v_f1	v_pre	v_rec	|	t_auc	t_f1	t_pre	t_rec
0	0.6906	8.1225	|	0.6644	0.0000	0.0000	0.0000	|	0.5751	0.0000	0.0000	0.0000	|	0.6672	0.0000	0.0000	0.0000	|  Best result at epoch 0
1	8.0699	0.6945	|	0.6860	0.5740	0.4025	1.0000	|	0.6085	0.5821	0.4105	1.0000	|	0.6786	0.5958	0.4243	1.0000	|  Best result at epoch 1
2	0.6945	0.6864	|	0.6929	0.0000	0.0000	0.0000	|	0.6007	0.0000	0.0000	0.0000	|	0.6914	0.0000	0.0000	0.0000	|  Best result at epoch 1
3	0.6861	0.6748	|	0.7176	0.0000	0.0000	0.0000	|	0.6209	0.0000	0.0000	0.0000	|	0.7155	0.0000	0.0000	0.0000	|  Best result at epoch 1
4	0.6743	0.6876	|	0.6763	0.0000	0.0000	0.0000	|	0.5655	0.0000	0.0000	0.0000	|	0.6789	0.0000	0.0000	0.0000	|  Best result at epoch 1
5	0.6856	0.6816	|	0.7644	0.0000	0.0000	0.0000	|	0.6296	0.0000	0.0000	0.0000	|	0.7518	0.0000	0.0000	0.0000	|  Best result at epoch 1
6	0.6814	0.6650	|	0.7959	0.0407	0.8889	0.0208	|	0.7005	0.0000	0.0000	0.0000	|	0.7717	0.0161	0.8462	0.0081	|  Best result at epoch 1
7	0.6645	0.6483	|	0.8106	0.4256	0.7687	0.2943	|	0.7170	0.3922	0.8333	0.2564	|	0.7793	0.4638	0.7546	0.3348	|  Best result at epoch 1
8	0.6478	0.6528	|	0.7694	0.0943	1.0000	0.0495	|	0.6584	0.0000	0.0000	0.0000	|	0.7561	0.1092	1.0000	0.0578	|  Best result at epoch 1
9	0.6517	0.6139	|	0.8122	0.7036	0.6667	0.7448	|	0.6973	0.6486	0.6857	0.6154	|	0.7809	0.7059	0.6700	0.7459	|  Best result at epoch 9
10	0.6132	0.6445	|	0.7789	0.1797	0.9744	0.0990	|	0.6648	0.0976	1.0000	0.0513	|	0.7640	0.1730	0.9846	0.0948	|  Best result at epoch 9
11	0.6428	0.5714	|	0.8304	0.7217	0.6765	0.7734	|	0.7179	0.6316	0.6486	0.6154	|	0.7959	0.7128	0.6688	0.7630	|  Best result at epoch 9
12	0.5704	0.5924	|	0.8090	0.4202	0.9369	0.2708	|	0.6955	0.2667	1.0000	0.1538	|	0.7878	0.4273	0.9171	0.2785	|  Best result at epoch 9
13	0.5912	0.7078	|	0.8200	0.6692	0.5278	0.9141	|	0.7147	0.5743	0.4677	0.7436	|	0.7834	0.6645	0.5297	0.8911	|  Best result at epoch 9
14	0.7074	0.6629	|	0.8102	0.1494	1.0000	0.0807	|	0.7070	0.1429	1.0000	0.0769	|	0.7896	0.1557	1.0000	0.0844	|  Best result at epoch 9
15	0.6602	0.5871	|	0.8292	0.4536	0.9350	0.2995	|	0.7248	0.3043	1.0000	0.1795	|	0.8034	0.4640	0.9189	0.3104	|  Best result at epoch 9
16	0.5862	0.5514	|	0.8397	0.5775	0.8913	0.4271	|	0.7395	0.4615	0.9231	0.3077	|	0.8097	0.5952	0.8479	0.4585	|  Best result at epoch 9
17	0.5507	0.5190	|	0.8443	0.6698	0.8514	0.5521	|	0.7463	0.5806	0.7826	0.4615	|	0.8110	0.6670	0.8074	0.5681	|  Best result at epoch 9
18	0.5177	0.4925	|	0.8468	0.6890	0.8309	0.5885	|	0.7454	0.6032	0.7917	0.4872	|	0.8120	0.6918	0.7958	0.6119	|  Best result at epoch 9
19	0.4906	0.4739	|	0.8510	0.7023	0.8487	0.5990	|	0.7404	0.6250	0.8000	0.5128	|	0.8133	0.6974	0.7932	0.6222	|  Best result at epoch 9
20	0.4713	0.4672	|	0.8534	0.7152	0.8551	0.6146	|	0.7413	0.6462	0.8077	0.5385	|	0.8142	0.6993	0.7932	0.6252	|  Best result at epoch 9
21	0.4646	0.4617	|	0.8554	0.7218	0.8541	0.6250	|	0.7395	0.6462	0.8077	0.5385	|	0.8149	0.7019	0.7929	0.6296	|  Best result at epoch 9
22	0.4589	0.4564	|	0.8579	0.7237	0.8546	0.6276	|	0.7413	0.6462	0.8077	0.5385	|	0.8159	0.7000	0.7987	0.6230	|  Best result at epoch 9
23	0.4537	0.4520	|	0.8595	0.7278	0.8425	0.6406	|	0.7431	0.6364	0.7778	0.5385	|	0.8165	0.7063	0.7914	0.6378	|  Best result at epoch 9
24	0.4490	0.4503	|	0.8621	0.7222	0.8864	0.6094	|	0.7482	0.6462	0.8077	0.5385	|	0.8179	0.6830	0.8129	0.5889	|  Best result at epoch 9
25	0.4479	0.4621	|	0.8629	0.7417	0.7946	0.6953	|	0.7390	0.6765	0.7931	0.5897	|	0.8177	0.7193	0.7524	0.6889	|  Best result at epoch 25
26	0.4583	0.4852	|	0.8645	0.6441	0.9223	0.4948	|	0.7463	0.4727	0.8125	0.3333	|	0.8198	0.6183	0.8590	0.4830	|  Best result at epoch 25
27	0.4833	0.4710	|	0.8653	0.7507	0.7566	0.7448	|	0.7390	0.6944	0.7576	0.6410	|	0.8184	0.7219	0.7238	0.7200	|  Best result at epoch 27
28	0.4676	0.4579	|	0.8684	0.6850	0.9021	0.5521	|	0.7463	0.6129	0.8261	0.4872	|	0.8205	0.6552	0.8436	0.5356	|  Best result at epoch 27
29	0.4558	0.4426	|	0.8695	0.7528	0.8281	0.6901	|	0.7399	0.6567	0.7857	0.5641	|	0.8193	0.7123	0.7599	0.6704	|  Best result at epoch 27
30	0.4394	0.4376	|	0.8715	0.7205	0.8923	0.6042	|	0.7440	0.6250	0.8000	0.5128	|	0.8207	0.6823	0.8239	0.5822	|  Best result at epoch 27
31	0.4352	0.4364	|	0.8727	0.7539	0.8196	0.6979	|	0.7367	0.6471	0.7586	0.5641	|	0.8200	0.7134	0.7577	0.6741	|  Best result at epoch 27
32	0.4329	0.4419	|	0.8744	0.7059	0.9061	0.5781	|	0.7418	0.5902	0.8182	0.4615	|	0.8213	0.6646	0.8420	0.5489	|  Best result at epoch 27
33	0.4393	0.4525	|	0.8743	0.7639	0.7784	0.7500	|	0.7349	0.6667	0.7273	0.6154	|	0.8204	0.7193	0.7239	0.7148	|  Best result at epoch 27
34	0.4483	0.4678	|	0.8772	0.6678	0.9387	0.5182	|	0.7436	0.5357	0.8824	0.3846	|	0.8226	0.6247	0.8650	0.4889	|  Best result at epoch 27
35	0.4651	0.4474	|	0.8761	0.7678	0.7781	0.7578	|	0.7344	0.6575	0.7059	0.6154	|	0.8207	0.7153	0.7188	0.7119	|  Best result at epoch 27
36	0.4438	0.4329	|	0.8791	0.7190	0.9051	0.5964	|	0.7431	0.6129	0.8261	0.4872	|	0.8223	0.6646	0.8335	0.5526	|  Best result at epoch 27
37	0.4300	0.4244	|	0.8793	0.7782	0.8378	0.7266	|	0.7335	0.6667	0.7667	0.5897	|	0.8213	0.7151	0.7558	0.6785	|  Best result at epoch 27
38	0.4206	0.4232	|	0.8815	0.7399	0.9122	0.6224	|	0.7422	0.6349	0.8333	0.5128	|	0.8226	0.6763	0.8274	0.5719	|  Best result at epoch 27
39	0.4199	0.4258	|	0.8817	0.7778	0.8107	0.7474	|	0.7312	0.6479	0.7188	0.5897	|	0.8218	0.7173	0.7438	0.6926	|  Best result at epoch 27
40	0.4215	0.4426	|	0.8839	0.7059	0.9474	0.5625	|	0.7436	0.5424	0.8000	0.4103	|	0.8232	0.6467	0.8551	0.5200	|  Best result at epoch 27
41	0.4393	0.4439	|	0.8826	0.7671	0.7583	0.7760	|	0.7317	0.6486	0.6857	0.6154	|	0.8216	0.7172	0.7094	0.7252	|  Best result at epoch 27
42	0.4395	0.4533	|	0.8860	0.6855	0.9493	0.5365	|	0.7445	0.5263	0.8333	0.3846	|	0.8239	0.6328	0.8662	0.4985	|  Best result at epoch 27
43	0.4502	0.4101	|	0.8858	0.7545	0.8873	0.6562	|	0.7399	0.6567	0.7857	0.5641	|	0.8226	0.6915	0.8051	0.6059	|  Best result at epoch 27
44	0.4069	0.4047	|	0.8865	0.7640	0.8810	0.6745	|	0.7395	0.6471	0.7586	0.5641	|	0.8225	0.7054	0.7961	0.6333	|  Best result at epoch 27
45	0.4011	0.4018	|	0.8873	0.7629	0.8780	0.6745	|	0.7367	0.6471	0.7586	0.5641	|	0.8225	0.7093	0.7943	0.6407	|  Best result at epoch 27
46	0.3980	0.3994	|	0.8881	0.7654	0.8758	0.6797	|	0.7372	0.6471	0.7586	0.5641	|	0.8226	0.7100	0.7927	0.6430	|  Best result at epoch 27
47	0.3955	0.3972	|	0.8888	0.7690	0.8767	0.6849	|	0.7349	0.6471	0.7586	0.5641	|	0.8228	0.7108	0.7936	0.6437	|  Best result at epoch 27
48	0.3932	0.3950	|	0.8895	0.7697	0.8742	0.6875	|	0.7353	0.6667	0.7667	0.5897	|	0.8228	0.7126	0.7924	0.6474	|  Best result at epoch 27
49	0.3910	0.3928	|	0.8903	0.7708	0.8771	0.6875	|	0.7349	0.6667	0.7667	0.5897	|	0.8228	0.7127	0.7949	0.6459	|  Best result at epoch 27
50	0.3888	0.3906	|	0.8911	0.7715	0.8746	0.6901	|	0.7340	0.6667	0.7667	0.5897	|	0.8228	0.7123	0.7904	0.6481	|  Best result at epoch 27
51	0.3865	0.3885	|	0.8919	0.7724	0.8855	0.6849	|	0.7326	0.6667	0.7667	0.5897	|	0.8228	0.7131	0.7969	0.6452	|  Best result at epoch 27
52	0.3844	0.3868	|	0.8928	0.7803	0.8766	0.7031	|	0.7326	0.6667	0.7667	0.5897	|	0.8227	0.7105	0.7808	0.6519	|  Best result at epoch 27
53	0.3825	0.3864	|	0.8936	0.7761	0.9091	0.6771	|	0.7344	0.6269	0.7500	0.5385	|	0.8228	0.7043	0.8075	0.6244	|  Best result at epoch 27
54	0.3823	0.3945	|	0.8934	0.7984	0.8435	0.7578	|	0.7303	0.6479	0.7188	0.5897	|	0.8224	0.7127	0.7488	0.6800	|  Best result at epoch 27
55	0.3894	0.4143	|	0.8951	0.7393	0.9398	0.6094	|	0.7408	0.5902	0.8182	0.4615	|	0.8233	0.6594	0.8431	0.5415	|  Best result at epoch 27
56	0.4104	0.4015	|	0.8942	0.7931	0.8137	0.7734	|	0.7321	0.6667	0.7273	0.6154	|	0.8220	0.7193	0.7372	0.7022	|  Best result at epoch 27
57	0.3967	0.3999	|	0.8964	0.7589	0.9421	0.6354	|	0.7399	0.6154	0.7692	0.5128	|	0.8233	0.6711	0.8306	0.5630	|  Best result at epoch 27
58	0.3961	0.3864	|	0.8963	0.8050	0.8584	0.7578	|	0.7340	0.6479	0.7188	0.5897	|	0.8223	0.7146	0.7520	0.6807	|  Best result at epoch 27
59	0.3817	0.3833	|	0.8976	0.7783	0.9247	0.6719	|	0.7367	0.6269	0.7500	0.5385	|	0.8231	0.6948	0.8168	0.6044	|  Best result at epoch 27
60	0.3792	0.3810	|	0.8976	0.8033	0.8580	0.7552	|	0.7340	0.6479	0.7188	0.5897	|	0.8224	0.7151	0.7558	0.6785	|  Best result at epoch 27
61	0.3759	0.3831	|	0.8993	0.7793	0.9377	0.6667	|	0.7376	0.6269	0.7500	0.5385	|	0.8231	0.6902	0.8249	0.5933	|  Best result at epoch 27
62	0.3790	0.3831	|	0.8986	0.8022	0.8362	0.7708	|	0.7335	0.6667	0.7273	0.6154	|	0.8222	0.7136	0.7428	0.6867	|  Best result at epoch 27
