Training log:
epoch	loss	v_loss	|	tr_maf1	tr_f1	tr_pre	tr_rec	|	v_auc	v_f1	v_pre	v_rec	|	t_maf1	t_f1	t_pre	t_rec
0	1.0962	2.9844	|	0.2709	0.6845	0.6845	0.6845	|	0.2629	0.6510	0.6510	0.6510	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
1	2.8180	1.0646	|	0.2709	0.6845	0.6845	0.6845	|	0.2629	0.6510	0.6510	0.6510	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
2	1.0632	0.9753	|	0.2709	0.6845	0.6845	0.6845	|	0.2629	0.6510	0.6510	0.6510	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
3	0.9685	0.8467	|	0.2709	0.6845	0.6845	0.6845	|	0.2629	0.6510	0.6510	0.6510	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
4	0.8268	0.9785	|	0.2709	0.6845	0.6845	0.6845	|	0.2629	0.6510	0.6510	0.6510	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
5	0.9244	0.9282	|	0.2709	0.6845	0.6845	0.6845	|	0.2629	0.6510	0.6510	0.6510	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
6	0.9181	0.8637	|	0.2709	0.6845	0.6845	0.6845	|	0.2629	0.6510	0.6510	0.6510	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
7	0.8465	0.8254	|	0.2709	0.6845	0.6845	0.6845	|	0.2629	0.6510	0.6510	0.6510	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
8	0.7981	0.8088	|	0.2709	0.6845	0.6845	0.6845	|	0.2629	0.6510	0.6510	0.6510	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
9	0.7755	0.7691	|	0.2709	0.6845	0.6845	0.6845	|	0.2629	0.6510	0.6510	0.6510	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
10	0.7430	1.6843	|	0.2709	0.6845	0.6845	0.6845	|	0.2629	0.6510	0.6510	0.6510	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
11	1.5836	0.9642	|	0.1095	0.1638	0.1638	0.1638	|	0.1151	0.1678	0.1678	0.1678	|	0.1177	0.1771	0.1771	0.1771	|  Best result at epoch 0
12	0.9569	0.9188	|	0.2709	0.6845	0.6845	0.6845	|	0.2629	0.6510	0.6510	0.6510	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
13	0.9080	0.8810	|	0.2709	0.6845	0.6845	0.6845	|	0.2629	0.6510	0.6510	0.6510	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
14	0.8668	0.8493	|	0.2709	0.6845	0.6845	0.6845	|	0.2629	0.6510	0.6510	0.6510	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
15	0.8320	0.8179	|	0.2709	0.6845	0.6845	0.6845	|	0.2629	0.6510	0.6510	0.6510	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
16	0.7982	0.7800	|	0.2709	0.6845	0.6845	0.6845	|	0.2629	0.6510	0.6510	0.6510	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
17	0.7584	0.7338	|	0.2709	0.6845	0.6845	0.6845	|	0.2629	0.6510	0.6510	0.6510	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
18	0.7085	0.7204	|	0.2709	0.6845	0.6845	0.6845	|	0.2629	0.6510	0.6510	0.6510	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
19	0.6961	0.8453	|	0.2709	0.6845	0.6845	0.6845	|	0.2629	0.6510	0.6510	0.6510	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
20	0.8307	0.6570	|	0.2709	0.6845	0.6845	0.6845	|	0.2629	0.6510	0.6510	0.6510	|	0.2714	0.6867	0.6867	0.6867	|  Best result at epoch 0
