Training log:
epoch	loss	v_loss	|	tr_maf1	tr_f1	tr_pre	tr_rec	|	v_auc	v_f1	v_pre	v_rec	|	t_maf1	t_f1	t_pre	t_rec
34	1.0279	0.9488	|	0.4075	0.5410	0.5410	0.5410	|	0.4085	0.5487	0.5487	0.5487	|	0.4113	0.5479	0.5479	0.5479	|  Best result at epoch 34
35	0.9497	0.9192	|	0.5960	0.6055	0.6055	0.6055	|	0.6113	0.6187	0.6187	0.6187	|	0.6174	0.6218	0.6218	0.6218	|  Best result at epoch 35
36	0.9200	0.8896	|	0.5824	0.6080	0.6080	0.6080	|	0.5814	0.6104	0.6104	0.6104	|	0.6112	0.6233	0.6233	0.6233	|  Best result at epoch 35
37	0.8904	0.8664	|	0.6073	0.6169	0.6169	0.6169	|	0.6114	0.6202	0.6202	0.6202	|	0.6057	0.6157	0.6157	0.6157	|  Best result at epoch 37
38	0.8675	0.9368	|	0.3762	0.5243	0.5243	0.5243	|	0.3642	0.5183	0.5183	0.5183	|	0.3883	0.5411	0.5411	0.5411	|  Best result at epoch 37
39	0.9376	1.0472	|	0.4729	0.4735	0.4735	0.4735	|	0.4787	0.4779	0.4779	0.4779	|	0.4736	0.4734	0.4734	0.4734	|  Best result at epoch 37
40	1.0504	1.0549	|	0.2581	0.4368	0.4368	0.4368	|	0.2467	0.4346	0.4346	0.4346	|	0.2556	0.4384	0.4384	0.4384	|  Best result at epoch 37
41	1.0553	0.9010	|	0.3917	0.5376	0.5376	0.5376	|	0.3848	0.5365	0.5365	0.5365	|	0.4038	0.5540	0.5540	0.5540	|  Best result at epoch 37
42	0.9021	0.8442	|	0.5368	0.5963	0.5963	0.5963	|	0.5502	0.6035	0.6035	0.6035	|	0.5795	0.6248	0.6248	0.6248	|  Best result at epoch 37
43	0.8452	0.8087	|	0.6384	0.6452	0.6452	0.6452	|	0.6358	0.6416	0.6416	0.6416	|	0.6592	0.6621	0.6621	0.6621	|  Best result at epoch 43
44	0.8100	0.7772	|	0.6546	0.6597	0.6597	0.6597	|	0.6589	0.6613	0.6613	0.6613	|	0.6614	0.6659	0.6659	0.6659	|  Best result at epoch 44
45	0.7787	0.7477	|	0.6627	0.6686	0.6686	0.6686	|	0.6608	0.6651	0.6651	0.6651	|	0.6737	0.6781	0.6781	0.6781	|  Best result at epoch 45
46	0.7494	0.7186	|	0.6717	0.6800	0.6800	0.6800	|	0.6679	0.6743	0.6743	0.6743	|	0.6731	0.6819	0.6819	0.6819	|  Best result at epoch 46
47	0.7207	0.7691	|	0.4615	0.5984	0.5984	0.5984	|	0.4580	0.5997	0.5997	0.5997	|	0.4876	0.6172	0.6172	0.6172	|  Best result at epoch 46
48	0.7725	1.1456	|	0.4538	0.4693	0.4693	0.4693	|	0.4579	0.4696	0.4696	0.4696	|	0.4618	0.4795	0.4795	0.4795	|  Best result at epoch 46
49	1.1484	1.1484	|	0.2246	0.4139	0.4139	0.4139	|	0.2313	0.4216	0.4216	0.4216	|	0.2308	0.4201	0.4201	0.4201	|  Best result at epoch 46
50	1.1488	0.7721	|	0.6038	0.6603	0.6603	0.6603	|	0.6221	0.6682	0.6682	0.6682	|	0.6366	0.6773	0.6773	0.6773	|  Best result at epoch 46
51	0.7747	0.7392	|	0.6919	0.7015	0.7015	0.7015	|	0.6841	0.6933	0.6933	0.6933	|	0.7135	0.7177	0.7177	0.7177	|  Best result at epoch 51
52	0.7414	0.7136	|	0.7024	0.7093	0.7093	0.7093	|	0.7048	0.7116	0.7116	0.7116	|	0.7173	0.7215	0.7215	0.7215	|  Best result at epoch 52
53	0.7160	0.6885	|	0.7053	0.7114	0.7114	0.7114	|	0.7218	0.7253	0.7253	0.7253	|	0.7159	0.7215	0.7215	0.7215	|  Best result at epoch 53
54	0.6911	0.6628	|	0.7147	0.7211	0.7211	0.7211	|	0.7242	0.7291	0.7291	0.7291	|	0.7280	0.7321	0.7321	0.7321	|  Best result at epoch 54
55	0.6657	0.6358	|	0.7219	0.7278	0.7278	0.7278	|	0.7324	0.7359	0.7359	0.7359	|	0.7260	0.7314	0.7314	0.7314	|  Best result at epoch 55
56	0.6388	0.6138	|	0.7298	0.7405	0.7405	0.7405	|	0.7271	0.7359	0.7359	0.7359	|	0.7560	0.7588	0.7588	0.7588	|  Best result at epoch 55
57	0.6175	0.6906	|	0.6602	0.6764	0.6764	0.6764	|	0.6525	0.6689	0.6689	0.6689	|	0.6599	0.6796	0.6796	0.6796	|  Best result at epoch 55
58	0.6931	1.0369	|	0.4197	0.5766	0.5766	0.5766	|	0.4175	0.5807	0.5807	0.5807	|	0.4250	0.5845	0.5845	0.5845	|  Best result at epoch 55
59	1.0415	0.7920	|	0.5905	0.5914	0.5914	0.5914	|	0.6079	0.6065	0.6065	0.6065	|	0.6055	0.6027	0.6027	0.6027	|  Best result at epoch 55
60	0.7960	0.6815	|	0.6726	0.7059	0.7059	0.7059	|	0.6975	0.7177	0.7177	0.7177	|	0.7083	0.7260	0.7260	0.7260	|  Best result at epoch 55
61	0.6848	0.6290	|	0.7397	0.7445	0.7445	0.7445	|	0.7449	0.7489	0.7489	0.7489	|	0.7400	0.7466	0.7466	0.7466	|  Best result at epoch 61
62	0.6316	0.6051	|	0.7427	0.7544	0.7544	0.7544	|	0.7435	0.7519	0.7519	0.7519	|	0.7755	0.7778	0.7778	0.7778	|  Best result at epoch 62
63	0.6086	0.5958	|	0.7432	0.7487	0.7487	0.7487	|	0.7402	0.7458	0.7458	0.7458	|	0.7465	0.7534	0.7534	0.7534	|  Best result at epoch 62
64	0.5981	0.6469	|	0.6315	0.6989	0.6989	0.6989	|	0.6559	0.7116	0.7116	0.7116	|	0.6694	0.7184	0.7184	0.7184	|  Best result at epoch 62
65	0.6516	0.7356	|	0.6392	0.6454	0.6454	0.6454	|	0.6403	0.6446	0.6446	0.6446	|	0.6471	0.6568	0.6568	0.6568	|  Best result at epoch 62
66	0.7372	0.9735	|	0.3958	0.5425	0.5425	0.5425	|	0.4030	0.5518	0.5518	0.5518	|	0.4294	0.5624	0.5624	0.5624	|  Best result at epoch 62
67	0.9767	0.7068	|	0.6925	0.6928	0.6928	0.6928	|	0.6910	0.6895	0.6895	0.6895	|	0.7384	0.7314	0.7314	0.7314	|  Best result at epoch 62
68	0.7111	0.6013	|	0.7736	0.7765	0.7765	0.7765	|	0.7681	0.7702	0.7702	0.7702	|	0.7786	0.7801	0.7801	0.7801	|  Best result at epoch 68
69	0.6041	0.5691	|	0.7868	0.7900	0.7900	0.7900	|	0.7854	0.7861	0.7861	0.7861	|	0.7971	0.7983	0.7983	0.7983	|  Best result at epoch 69
70	0.5719	0.5467	|	0.7926	0.7959	0.7959	0.7959	|	0.7949	0.7960	0.7960	0.7960	|	0.8104	0.8113	0.8113	0.8113	|  Best result at epoch 70
71	0.5495	0.5271	|	0.8007	0.8039	0.8039	0.8039	|	0.8014	0.8037	0.8037	0.8037	|	0.8097	0.8113	0.8113	0.8113	|  Best result at epoch 71
72	0.5295	0.5069	|	0.8094	0.8130	0.8130	0.8130	|	0.8045	0.8075	0.8075	0.8075	|	0.8212	0.8219	0.8219	0.8219	|  Best result at epoch 72
73	0.5096	0.5050	|	0.8046	0.8086	0.8086	0.8086	|	0.7962	0.8006	0.8006	0.8006	|	0.7986	0.8021	0.8021	0.8021	|  Best result at epoch 72
74	0.5060	0.7522	|	0.5595	0.6913	0.6913	0.6913	|	0.5529	0.6948	0.6948	0.6948	|	0.5866	0.7062	0.7062	0.7062	|  Best result at epoch 72
75	0.7604	0.9515	|	0.4942	0.4894	0.4894	0.4894	|	0.4794	0.4718	0.4718	0.4718	|	0.5091	0.5046	0.5046	0.5046	|  Best result at epoch 72
76	0.9514	1.0876	|	0.3587	0.4708	0.4708	0.4708	|	0.3637	0.4764	0.4764	0.4764	|	0.3828	0.4825	0.4825	0.4825	|  Best result at epoch 72
77	1.0906	0.6430	|	0.7476	0.7523	0.7523	0.7523	|	0.7500	0.7534	0.7534	0.7534	|	0.7782	0.7740	0.7740	0.7740	|  Best result at epoch 72
78	0.6468	0.5615	|	0.8148	0.8180	0.8180	0.8180	|	0.8130	0.8135	0.8135	0.8135	|	0.8189	0.8196	0.8196	0.8196	|  Best result at epoch 78
79	0.5637	0.5257	|	0.8209	0.8235	0.8235	0.8235	|	0.8217	0.8219	0.8219	0.8219	|	0.8251	0.8265	0.8265	0.8265	|  Best result at epoch 79
80	0.5275	0.4967	|	0.8256	0.8288	0.8288	0.8288	|	0.8236	0.8250	0.8250	0.8250	|	0.8286	0.8295	0.8295	0.8295	|  Best result at epoch 80
81	0.4987	0.4750	|	0.8297	0.8317	0.8317	0.8317	|	0.8259	0.8265	0.8265	0.8265	|	0.8262	0.8272	0.8272	0.8272	|  Best result at epoch 81
82	0.4761	0.4581	|	0.8278	0.8318	0.8318	0.8318	|	0.8242	0.8265	0.8265	0.8265	|	0.8357	0.8349	0.8349	0.8349	|  Best result at epoch 81
83	0.4603	0.4729	|	0.8218	0.8263	0.8263	0.8263	|	0.8074	0.8120	0.8120	0.8120	|	0.8107	0.8158	0.8158	0.8158	|  Best result at epoch 81
84	0.4723	0.5902	|	0.6916	0.7550	0.7550	0.7550	|	0.7175	0.7656	0.7656	0.7656	|	0.7163	0.7656	0.7656	0.7656	|  Best result at epoch 81
85	0.5964	0.6007	|	0.7395	0.7424	0.7424	0.7424	|	0.7218	0.7253	0.7253	0.7253	|	0.7347	0.7382	0.7382	0.7382	|  Best result at epoch 81
86	0.5996	0.7217	|	0.6817	0.7107	0.7107	0.7107	|	0.7020	0.7237	0.7237	0.7237	|	0.7175	0.7336	0.7336	0.7336	|  Best result at epoch 81
87	0.7249	0.7054	|	0.6389	0.6428	0.6428	0.6428	|	0.6300	0.6332	0.6332	0.6332	|	0.6406	0.6423	0.6423	0.6423	|  Best result at epoch 81
88	0.7069	0.5132	|	0.8189	0.8183	0.8183	0.8183	|	0.8208	0.8204	0.8204	0.8204	|	0.8254	0.8250	0.8250	0.8250	|  Best result at epoch 81
89	0.5137	0.4367	|	0.8482	0.8493	0.8493	0.8493	|	0.8439	0.8432	0.8432	0.8432	|	0.8357	0.8356	0.8356	0.8356	|  Best result at epoch 89
90	0.4373	0.4162	|	0.8480	0.8499	0.8499	0.8499	|	0.8439	0.8440	0.8440	0.8440	|	0.8379	0.8387	0.8387	0.8387	|  Best result at epoch 90
91	0.4161	0.4021	|	0.8555	0.8570	0.8570	0.8570	|	0.8477	0.8478	0.8478	0.8478	|	0.8440	0.8455	0.8455	0.8455	|  Best result at epoch 91
92	0.4015	0.3928	|	0.8540	0.8564	0.8564	0.8564	|	0.8426	0.8447	0.8447	0.8447	|	0.8450	0.8463	0.8463	0.8463	|  Best result at epoch 91
93	0.3926	0.4000	|	0.8530	0.8556	0.8556	0.8556	|	0.8368	0.8379	0.8379	0.8379	|	0.8401	0.8432	0.8432	0.8432	|  Best result at epoch 91
94	0.3981	0.4926	|	0.7793	0.8071	0.8071	0.8071	|	0.7782	0.8029	0.8029	0.8029	|	0.7877	0.8090	0.8090	0.8090	|  Best result at epoch 91
95	0.4965	0.7213	|	0.6679	0.6854	0.6854	0.6854	|	0.6544	0.6728	0.6728	0.6728	|	0.6542	0.6735	0.6735	0.6735	|  Best result at epoch 91
96	0.7195	0.6460	|	0.6970	0.7506	0.7506	0.7506	|	0.7152	0.7656	0.7656	0.7656	|	0.7258	0.7709	0.7709	0.7709	|  Best result at epoch 91
97	0.6503	0.5597	|	0.7561	0.7461	0.7461	0.7461	|	0.7329	0.7222	0.7222	0.7222	|	0.7527	0.7420	0.7420	0.7420	|  Best result at epoch 91
98	0.5594	0.5509	|	0.7964	0.7932	0.7932	0.7932	|	0.7920	0.7884	0.7884	0.7884	|	0.7924	0.7922	0.7922	0.7922	|  Best result at epoch 91
99	0.5488	0.5097	|	0.8076	0.8029	0.8029	0.8029	|	0.7941	0.7877	0.7877	0.7877	|	0.8020	0.7976	0.7976	0.7976	|  Best result at epoch 91
100	0.5101	0.4152	|	0.8554	0.8560	0.8560	0.8560	|	0.8425	0.8447	0.8447	0.8447	|	0.8435	0.8440	0.8440	0.8440	|  Best result at epoch 91
101	0.4153	0.3779	|	0.8631	0.8646	0.8646	0.8646	|	0.8535	0.8531	0.8531	0.8531	|	0.8491	0.8516	0.8516	0.8516	|  Best result at epoch 101
102	0.3768	0.3656	|	0.8652	0.8668	0.8668	0.8668	|	0.8576	0.8584	0.8584	0.8584	|	0.8481	0.8501	0.8501	0.8501	|  Best result at epoch 102
103	0.3642	0.3575	|	0.8678	0.8693	0.8693	0.8693	|	0.8553	0.8554	0.8554	0.8554	|	0.8540	0.8562	0.8562	0.8562	|  Best result at epoch 102
104	0.3556	0.3524	|	0.8696	0.8714	0.8714	0.8714	|	0.8590	0.8600	0.8600	0.8600	|	0.8533	0.8554	0.8554	0.8554	|  Best result at epoch 104
105	0.3501	0.3541	|	0.8670	0.8678	0.8678	0.8678	|	0.8556	0.8546	0.8546	0.8546	|	0.8492	0.8508	0.8508	0.8508	|  Best result at epoch 104
106	0.3516	0.3823	|	0.8628	0.8632	0.8632	0.8632	|	0.8537	0.8539	0.8539	0.8539	|	0.8463	0.8493	0.8493	0.8493	|  Best result at epoch 104
107	0.3795	0.5073	|	0.8039	0.7974	0.7974	0.7974	|	0.7806	0.7725	0.7725	0.7725	|	0.7987	0.7930	0.7930	0.7930	|  Best result at epoch 104
108	0.5050	0.6580	|	0.7534	0.7480	0.7480	0.7480	|	0.7498	0.7435	0.7435	0.7435	|	0.7451	0.7443	0.7443	0.7443	|  Best result at epoch 104
109	0.6532	0.5276	|	0.7952	0.7889	0.7889	0.7889	|	0.7827	0.7755	0.7755	0.7755	|	0.7904	0.7854	0.7854	0.7854	|  Best result at epoch 104
110	0.5267	0.4179	|	0.8518	0.8570	0.8570	0.8570	|	0.8434	0.8486	0.8486	0.8486	|	0.8483	0.8516	0.8516	0.8516	|  Best result at epoch 104
111	0.4191	0.4281	|	0.8361	0.8410	0.8410	0.8410	|	0.8213	0.8272	0.8272	0.8272	|	0.8213	0.8280	0.8280	0.8280	|  Best result at epoch 104
112	0.4251	0.5481	|	0.7484	0.7919	0.7919	0.7919	|	0.7494	0.7892	0.7892	0.7892	|	0.7675	0.8014	0.8014	0.8014	|  Best result at epoch 104
113	0.5527	0.4700	|	0.8085	0.8162	0.8162	0.8162	|	0.7944	0.8029	0.8029	0.8029	|	0.7936	0.8037	0.8037	0.8037	|  Best result at epoch 104
114	0.4670	0.3931	|	0.8568	0.8615	0.8615	0.8615	|	0.8402	0.8455	0.8455	0.8455	|	0.8601	0.8623	0.8623	0.8623	|  Best result at epoch 104
115	0.3934	0.3480	|	0.8763	0.8777	0.8777	0.8777	|	0.8544	0.8562	0.8562	0.8562	|	0.8642	0.8653	0.8653	0.8653	|  Best result at epoch 104
